article,output6.xml,DT65.xml
DT65-00219,"village de Julos ?, d'Adé N
          et se perd dans (l'Echez) +la Jeune :","village de Julos (+?), d'Adé N          et se perd dans (l'Echez) +la Jeune :"
DT65-00224,"entre Barbazan-debat (NO, Arriou Loung) et Mérilheu.","entre Barbazan-debat (+NO, Arriou Loung) et Mérilheu."
DT65-00226,"village de Hitte (Larriou SO)
          affluent du ruisseau des Goutilles.",village de Hitte (+Larriou SO)          affluent du ruisseau des Goutilles.
DT65-00228,"commune de Saint-Lary SO
         .",commune de (Tramezaygues) +Saint-Lary SO         .
DT65-00233,"commune de Ricaud (ou Larriou, commune de Tournous-darré.",commune de Ricaud (+            Larrioucommune de Tournous-darré         .
DT65-00236,"commune d'Orignac
         .",commune d'(Arrayou) +Orignac         .
DT65-00246,"commune d'Aragnouet (Arrouys ?)
         .",commune d'Aragnouet (+Arrouys ?)         .
DT65-00266,"commune de Betpouey, aujourd'hui Barèges SO
         .","commune de Betpouey, +aujourd'hui Barèges SO         ."
DT65-00276,"commune de Bareilles (Artigue-Longue écart SE)
         .",commune de Bareilles (+Artigue-Longue écart SE)         .
DT65-00277,"commune de Loudenvielle S
         .",commune de (Germ) +Loudenvielle S         .
DT65-00281,"commune de Maubourguet SE (aujourd'hui Aurensan)
         .",commune de Maubourguet SE (+aujourd'hui Aurensan)         .
DT65-00317,"commune de Vielle-Aure O
          :",commune de (Aragnouet) +Vielle-Aure O          :
DT65-00321,commune de Bordères-de-Louron.,commune de Bordères de Louron         .
DT65-00323,"commune de Sazos SO
          :",commune de (Gèdre) +Sazos SO          :
DT65-00335,"commune de Dours NO
         , affluent de l'Estéoux à ","commune de (Aurensan) +Dours NO         , affluent de (l'Adour) +l'Estéoux à "
DT65-00337,"commune de Vielle-Aure O
          :",commune de (Aragnouet) +Vielle-Aure O          :
DT65-00340,"Hourquette d'Héas, 2585 m).","+Hourquette d'Héas, 2585 m)."
DT65-00356,"canton de Nestier, aujourd'hui Saint-Laurent S, Comminges :","canton de Nestier, +aujourd'hui Saint-Laurent S, Comminges :"
DT65-00368,"commune de Luz SO
         .",commune de (Gèdre) +Luz SO         .
DT65-00370,"village d'Asté (Campan SE ?)
          mentionné en ",village d'Asté (+Campan SE ?)          mentionné en 
DT65-00383,vallée de l'Estrème-de-Salles. ,vallée de l'Estrème de Salles. 
DT65-00390,communes de Betpouey SE et d'Ardengost NO.,communes de (Gèdre) +Betpouey SE et d'Ardengost NO.
DT65-00391,"commune de Saint-Lary SO
          (Cas.).",commune de (Aragnouet) +Saint-Lary SO          (Cas.).
DT65-00393,Oleac-dessus et se perd dans le Larret.,Oléac-dessus et se perd dans le Larret.
DT65-00394,"commune de Luz SE
          :",commune de (Gèdre) +Luz SE          :
DT65-00395,"commune de Loudenvielle S
         .",commune de (Germ) +Loudenvielle S         .
DT65-00400,"commune de Sazos SO
         .",commune de (Gèdre) +Sazos SO         .
DT65-00401,"commune de Sireix SO
          :",commune de (Bun) +Sireix SO          :
DT65-00404,"commune de Ferrières SE
         .",commune de (Arbéost) +Ferrières SE         .
DT65-00413,"commune de Bernadets-dessus (Buhelle SO)
         .",commune de Bernadets-dessus (+Buhelle SO)         .
DT65-00439,"commune d'Arrens S (Bat laytouse EM)
         .",commune d'Arrens S (+Bat laytouse EM)         .
DT65-00442,"commune d'Esquièze (? Gèdre NO)
         .",commune d'Esquièze (+? Gèdre NO)         .
DT65-00458,Prechac (Gers).,Préchac (Gers).
DT65-00471,Benac.,            Bénac         .
DT65-00473,"commune de Bagnères (Barrans quartier E)
         .",commune de Bagnères (+Barrans quartier E)         .
DT65-00474,"communes de Saligos, de Coussan, de Goudon O…","communes de Saligos, de Coussan, +de Goudon O…"
DT65-00477,commune de Bagnères S.,+commune de Bagnères S.
DT65-00481,"commune de Bramevaque (Lande NE)
         .",commune de Bramevaque (+Lande NE)         .
DT65-00502,hameau de Sia (Luz S).,hameau de (Pragnères) +Sia (Luz S).
DT65-00525,"commune de Nistos SO (et Nestier S)
         .",commune de Nistos SO (+et Nestier S)         .
DT65-00532,"commune de Cotdoussan, plutôt Beaucens O
          :","commune de Cotdoussan, +plutôt Beaucens O          :"
DT65-00553,"fontaine de la Canère (Carrère, écart IGN), traverse ","fontaine de la Canère (+Carrère, écart IGN), traverse "
DT65-00553,"Bouilh-Péreuil S, affluent du Lanenos.","Bouilh (Péreuil) S, affluent du Lanenos."
DT65-00556,"bois de l'Hôpital et se jette dans le Rioumajou, Saint-Lary SO.","bois de l'Hôpital et se jette dans le Rioumajou, +Saint-Lary SO."
DT65-00558,communes de Neuilh S.,"communes de (Sère-Lanso, Arrodets) +Neuilh S."
DT65-00562,"communes de Cizos, Vidou SE, Arrens S (Barri), Saint-Martin.","communes de Cizos, Vidou SE, Arrens S (+Barri), Saint-Martin."
DT65-00569,"commune de Castelnau-Magnoac SE
         .","commune de Castelnau, Magnoac SE         ."
DT65-00575,"communes de Betbèze NE (-s), Clarens, Galan N, Julos S, Lalanne, Larroque, Sarrancolin, Trie (  La), . ","communes de Betbèze NE (-s), Clarens, Galan N, Julos S, Lalanne, Larroque, Sarrancolin, Trie (+La), +Thermes O (La). "
DT65-00582,communes de Monléon S et Lassales E :,communes de Monléon S +et Lassales E :
DT65-00601,bois de Géret (Jéret) et se jette dans le gave de Marcadau (+Cauterets S).,bois de Géret (+Jéret) et se jette dans le gave de Marcadau (+Cauterets S).
DT65-00604,"commune de Génos SO
          (+2367 m) ; le ruisseau de ce nom, issu du mont Tramadits, passe à Loudenvielle et se jette dans la Neste de Louron.","commune de +Génos SO          (+2367 m) ; le ruisseau de ce nom, issu du mont Tramadits, passe à Loudenvielle et se jette dans la Neste de Louron."
DT65-00609,Tourmalet (Sers O) et l'embouchure dans le Gave de Pau. Il passe par ,Tourmalet (+Sers O) et l'embouchure dans le Gave de Pau. Il passe par 
DT65-00613,"commune de Ayros O
          :",commune de (Boô-Silhen) +Ayros O          :
DT65-00634,"commune de (Tramezaygues) Saint-Lary S
         .",commune de (Tramezaygues) +Saint-Lary S         .
DT65-00635,"commune d'Arrayou (Balidet ?)
         .",commune d'Arrayou (+Balidet ?)         .
DT65-00662,"Pont-Sainte-Marie (Lot-et-Garonne), elle se forme de deux cours nés dans le département, qui s'unissent à l'Isle-Noé (Gers) : la ","Pont Sainte-Marie (L.G.), elle se forme de deux cours nés dans le département, qui s'unissent à l'Isle-Noé (Gers) : la "
DT65-00682,vallée de la Neste (fanum à Baiasis) :,vallée de la Neste (+fanum à Baiasis) :
DT65-00691,"commune de Lamarque-Pontacq SO
         .",commune de Lamarque (Pontacq) SO         .
DT65-00692,"communes d'Antin, Azereix O, Bégole, Galez, Goudon, Jacque N, Lanespède, Libaros, Péré E, Poumarous N, Tournay NE (etc).","communes d'Antin, Azereix O, Bégole, Galez, Goudon, Jacque N, Lanespède, Libaros, +Péré E, Poumarous N, +Tournay NE (etc)."
DT65-00733,"fontaine de Saint-Miqueu, arrose ","fontaine de S. Miqueu, arrose "
DT65-00761,"commune de Salles-en-l'Estrème O
          ; fut érigé en ",commune de Salles en l'Estrème O          ; fut érigé en 
DT65-00776,commune d’Argelès-en-Lavedan :,commune d'Argelès en Lavedan          :
DT65-00800,"commune de Castelbajac, aujourd'hui Houeydets E
          :","commune de Castelbajac, +aujourd'hui Houeydets E          :"
DT65-00805,"commune de Salles-en-l'Estrème
          :",commune de Salles en l'Estrème          :
DT65-00813,"canton de Lannemezan, aujourd'hui Bagnères E, Nébouzan :","canton de Lannemezan, +aujourd'hui Bagnères E, Nébouzan :"
DT65-00816,"commune de Saint-Martin SO (Visker NE)
          :",commune de Saint-Martin SO (+Visker NE)          :
DT65-00835,"commune de Lamarque-Rustaing N
         .",commune de Lamarque (Pontacq) +Rustaing N         .
DT65-00865,"village de  Saint-Laurent N et Saint-Paul S
         , (affl) +issu de la Torte.","village de (+Saint-Laurent N et) Saint-Paul S         , (affl) +issu de la Torte."
DT65-00869,communes d'Astugue S et de Sarriac.,communes d +Astugue S et de Sarriac.
DT65-00882,"canton de Nestier, aujourd'hui de Saint-Laurent S, ","canton de Nestier, +aujourd'hui de Saint-Laurent S, "
DT65-00886,"canton de Nestier, aujourd'hui Saint-Laurent SO, ","canton de Nestier, +aujourd'hui Saint-Laurent SO, "
DT65-00909,"commune d'Orincles (au village)
         .",commune d'Orincles (+au village)         .
DT65-00920,"communes d'Adé O, Castelbajac, Libaros (Bois).","communes d'Adé O, Castelbajac, Libaros (+Bois)."
DT65-00926,"communes d'Arrodets, Asté, Adé E, Orleix, Vielle-Adour, etc.…","communes d'Arrodets, Asté, +Adé E, Orleix, Vielle-Adour, etc.…"
DT65-01003,"commune de Hèches SO
          :",commune de (Sarrancolin) +Hèches SO          :
DT65-01007,"commune de Gardères SO
         .",commune de (Luquet) +Gardères SO         .
DT65-01032,"communes de Galan NO, d'Arné O, de Cauterets N.","communes de Galan NO, d'Arné O, +de Cauterets N."
DT65-01044,"commune de Castelnau-Rivière-Basse ; O
          (Bourdic, inf. com.).","commune de Castelnau-Rivière-Basse ; +O, Bourdic          (inf. com.)."
DT65-01051,"ville de Tarbes (centre E)
          construit au (",ville de Tarbes (+centre E)          construit au (
DT65-01059,"commune de Lomné E et Labastide E
         .",commune de Lomné E (+et Labastide E)         .
DT65-01081,"commune de Cauterets SO
         .",commune de (Gavarnie) +Cauterets SO         .
DT65-01093,"commune de Luz SE
         .",commune de (Esquièze) +Luz SE         .
DT65-01110,"commune de Saint-Paul E
         .",commune de (Mazères) +Saint-Paul E         .
DT65-01146,"commune de Luz SE
          (+pic, 3031 m) près de laquelle est un lac de son nom qui s'écoule dans le gave de Pragnères.","commune de (Gèdre) +Luz SE          (+pic, 3031 m) près de laquelle est un lac de son nom qui s'écoule dans le gave de Pragnères."
DT65-01169,entre les vallées de Louron et de Larboust (Haute-Garonne).,entre les vallées de Louron et de Larboust (H.G.).
DT65-01171,commune d’Arcizans-avant S.,commune d'Arcizans avant S)         .
DT65-01193,Arbéost S).,+Arbéost S).
DT65-01201,"commune de Lahitte-ez-Angles O
          :",commune de +Lahitte-ez-Angles O          :
DT65-01202,commune de Bagnères SE :,+commune de Bagnères SE :
DT65-01203,"de Gazost SE, qui se jette dans le gave de Nez.","+de Gazost SE, qui se jette dans le gave de Nez."
DT65-01210,"vallée de Louron, Loudenvielle SE :","vallée de Louron, +Loudenvielle SE :"
DT65-01211,"commune de Gez SE
         .",commune de (Argelès) +Gez SE         .
DT65-01226,commune de Estaing S :,commune de (Cauterets) +Estaing S :
DT65-01248,"commune de Ancizan NO, terrain auquel s'attache une tradition analogue (+bataille de Corvinus en ","commune de (Campan) +Ancizan NO, terrain auquel s'attache une tradition analogue (+bataille de Corvinus en "
DT65-01255,"commune de (Tramezaygues) Aragnouet NE
         .",commune de (Tramezaygues) +Aragnouet NE         .
DT65-01265,Vic (du Moulin IGN).,Vic (+du Moulin IGN).
DT65-01269,"Semeac, arrose ","            Séméac         , arrose "
DT65-01272,Borderes :,Bordères :
DT65-01281,"Borderes, embouchure dans l'Echez.","            Bordères         , embouchure dans l'Echez."
DT65-01302,"commune de Maubourguet NE (à Saüc)
          :",commune de Maubourguet NE (+à Saüc)          :
DT65-01312,"commune de Escala E
         .",commune de (Pinas) +Escala E         .
DT65-01320,"commune de Bordères NE
          :",commune de (Bazet) +Bordères NE          :
DT65-01330,"commune de Saint-Lary SO
          : ",commune de (Tramezaygues) +Saint-Lary SO          : 
DT65-01343,de Campuzan NE.,+de Campuzan NE.
DT65-01351,entre les vallées de Barousse et de l'Oeil (Haute-Garonne).,entre les vallées de Barousse et de l'Oeil (H.G).
DT65-01358,"commune de Anlà S
         .",commune de (Ilheu) +Anlà S         .
DT65-01360,"commune d'Escots SE
         .",commune d'(Esconnets) +Escots SE         .
DT65-01372,communes de Lamarque-Rustaing et d'Aventignan.,communes de Lamarque (Rustaing) et d'Aventignan.
DT65-01400,"commune de Lamarque-Rustaing SE
         .",commune de Lamarque (Pontacq) +Rustaing SE         .
DT65-01415," Coussan O, Neuilh O, Tarasteix (-Dessus) (. (+et Bouilh, ","+Coussan O, Neuilh O, Tarasteix (+-Dessus). (+et Bouilh, "
DT65-01418,Tarbes (centre O) correspondant au lieu désigné par la Notice des Provinces sous le nom de ,Tarbes (+centre O) correspondant au lieu désigné par la Notice des Provinces sous le nom de 
DT65-01421,"commune de Campan SE (à Espiadet)
          : importante exploitation de marbre ",commune de Campan SE (+à Espiadet)          : importante exploitation de marbre 
DT65-01459,"communes d'Arcizac-ez-Angles, de Luquet S (et Gardères SE).","communes d'Arcizac ez Angles, de Luquet S (+et Gardères SE)."
DT65-01469,"Castera-Lou, affluent ","            Castéra-Lou         , affluent "
DT65-01470,Pere et va se jeter dans l'Arros.,Péré et va se jeter dans l'Arros.
DT65-01491,"près du château de Luby (La Hauère, Betmont O).","près du château de Luby (+La Hauère, Betmont O)."
DT65-01497,"arrondissement de Bagnères, aujourd'hui de Tarbes, ","arrondissement de Bagnères, +aujourd'hui de Tarbes, "
DT65-01511,"commune de Bulan (et Sariac NE)
         .",commune de Bulan (+et Sariac NE)         .
DT65-01522,"communes de Tuzaguet, Créchets, Moulédous S.","communes de Tuzaguet, Créchets, +Moulédous S."
DT65-01527,"commune de Saint-Lary SO
         , sur la ","commune de (Tramezaygues) +Saint-Lary SO         , sur la "
DT65-01528,"commune d'Aurensan (et Campistrous SO)
         .",commune d'Aurensan (+et Campistrous SO)         .
DT65-01530,"communes de Cheust (Castet), de Peyrouse.","communes de Cheust (+Castet), de Peyrouse."
DT65-01544,"commune de Peyriguère O
         .",commune de (Thuy) +Peyriguère O         .
DT65-01558,"commune de Peyrouse NO
         .",commune de (Saint-Pé) +Peyrouse NO         .
DT65-01565,"communes des Angles, Arcizans-avant, NE, de Cieutat, de Séméac.","communes des Angles (+Arcizans-avant, NE), de Cieutat, de Séméac."
DT65-01574,"commune de Saint-Lary SO
          (Cas.).",commune de (Tramezaygues) +Saint-Lary SO          (Cas.).
DT65-01575,"commune de Saint-Lary SO
          (+2526 m).",commune de (Sailhan) +Saint-Lary SO          (+2526 m).
DT65-01612,"communes de Bernadets-dessus, Laborde, Nestalas.","communes de Bernadets dessus, Laborde, Nestalas."
DT65-01636,"commune de Gèdre O
         , arrose le ","commune de (Gavarnie) +Gèdre O         , arrose le "
DT65-01639,"commune de Bernac-dessus SE
         , et se jette dans l'Alaric à ","commune de Barnac-dessus SE         , et se jette dans l'Alaric à "
DT65-01640,"commune de Camous SE
         .",commune de (Beyrède) +Camous SE         .
DT65-01647,"commune de Gèdre S
          : nom donné à l'immense ",commune de (Gavarnie) +Gèdre S          : nom donné à l'immense 
DT65-01661,"Séméac S (de Gramont), Soublecause…","Séméac S (+de Gramont), Soublecause…"
DT65-01662,"communes d'Agos-Vidalos (Albespin), Aventignan, Barbazan-debat, Beaucens SO, Caubous, Hachan, Hèches, Lacassagne S, Laran centre (.","communes d'Agos-Vidalos (+Albespin), Aventignan, Barbazan-debat, Beaucens SO, Caubous, Hachan, Hèches, Lacassagne S, Laran centre (+Castet)."
DT65-01711,"village de Sère-Rustaing
         , se jette dans le Boués.","village de Sère (Rustaing)         , se jette dans le Boués."
DT65-01713,"village de Sère-Rustaing
         , se jette dans le Boués.","village de Sère (Rustaing)         , se jette dans le Boués."
DT65-01718,bois de Notre-Dame de Garaison (Arné N) au ,bois de Notre-Dame de Garaison (+Arné N) au 
DT65-01732,"commune de Loudenvielle SE, s'ouvre à travers les ","commune de (Germ) +Loudenvielle SE, s'ouvre à travers les "
DT65-01736,"communes Castelnau-Magnoac SE, Castelvieilh, Cizos NE (écart), Séméac…","communes Castelnau-Magnoac SE, Castelvieilh, Cizos NE (+écart), Séméac…"
DT65-01774,"communes d'Aubarède (Clauzets), et de Ségalas  .","communes d'Aubarède (+Clauzets), et de Ségalas."
DT65-01780,"commune de Tarbes O
          :",commune de (Ibos) +Tarbes O          :
DT65-01785,"communes de Betbèze, Monléon, Peyret-Saint-André (Couloumé NE).","communes de Betbèze, Monléon, Peyret-Saint-André (+Couloumé NE)."
DT65-01801,"communes d'Esterre, Sassis, Sazos, Viscos O, Sers…","communes d'Esterre, Sassis, Sazos (+Viscos O), Sers…"
DT65-01804,"commune de Saint-Lary S
          ; on y trouve deux lacs de ce nom dont les eaux se versent au Rioumajou.",commune de (Tramezayques) +Saint-Lary S          ; on y trouve deux lacs de ce nom dont les eaux se versent au Rioumajou.
DT65-01808,communes de Bouilh-devant devant et de Madiran NO.,communes de Bouilh devant et de Madiran NO.
DT65-01832,"communes de Bouilh-Péreuilh, Castelbajac N, Luquet N, Montastruc E (Coustalat).","communes de Bouilh-Péreuilh, Castelbajac N, Luquet N, Montastruc E (+Coustalat)."
DT65-01861,"commune de Mont-d'Astarac
          (Gers, inf. com.).","commune de (Sariac) +Mont d'Astarac          (Gers, inf. com.)."
DT65-01873,"commune de Clarens S
         .",commune de (Réjaumont) +Clarens S         .
DT65-01879,"commune de Gèdre SE
         . “On donne dans la montagne du Lavedan le nom de ",commune de (Gavarnie) +Gèdre SE         . “On donne dans la montagne du Lavedan le nom de 
DT65-01884,communes d'Aucun NO (Couradère) et de Ferrières.,communes d'Aucun NO (+Couradère) et de Ferrières.
DT65-01908,"forêts d'Orédon, de Couplan, d'Artigues et se précipite dans la Neste d'Aure, ","forêts d'+Orédon, de Couplan, d'Artigues et se précipite dans la Neste d'Aure, "
DT65-01908,près d'Aragnouet E (à Fabian).,près d'Aragnouet E (+à Fabian).
DT65-01910,vallée de Barousse à Sost SO.,vallée de Barousse +à Sost SO.
DT65-01923,"commune de Cheust NE
          :",commune de (Juncalas) +Cheust NE          :
DT65-01926,"commune de Castelbajac, aujourd'hui Houeydets S
         .","commune de Castelbajac, +aujourd'hui Houeydets S         ."
DT65-01930,Lanespede.,            Lanespède         .
DT65-01958,"commune de Bourg SO
         .",commune de (Espieilh) +Bourg SO         .
DT65-02008,vallées de Castelloubon et de Campan (Bagnères SO) :,vallées de Castelloubon et de Campan (+Bagnères SO) :
DT65-02016,vallée de Lesponne (Beaucens SE).,vallée de Lesponne (+Beaucens SE).
DT65-02033,"communes de Bazillac (Argelès), Maubourguet et Rabastens.","communes de Bazillac (+Argelès), Maubourguet et Rabastens."
DT65-02035,"commune d'Arbéost (Harnassat SE)
         .",commune d'Arbéost (+Harnassat SE)         .
DT65-02036,"commune de Recurt (plusieurs autres)
         .",commune de Recurt (+plusieurs)         .
DT65-02059,"commune de Nestier (Devant-village ?)
         .",commune de Nestier (+Devant-village ?)         .
DT65-02062,"village de Bernadets-debat 
         , affluent du Boués.","village de Bernadets debat         , affluent du Boués."
DT65-02069,"commune de Lourdes SO
          (Cas.).",commune de (Ossen) +Lourdes SO          (Cas.).
DT65-02074,"commune de Bégole (Poutge, O)
         .","commune de Bégole (+Poutge, O)         ."
DT65-02188,"commune d'Auriébat (Pis, S)
         .","commune d'Auriébat (+Pis, S)         ."
DT65-02198,"communes de Castelnau-Rivière-Basse E (disparu), Guchan, Hères, Hibarette, Tournous-devant, Vielle-Aure…","communes de Castelnau-Rivière-Basse E (+disparu), Guchan, Hères, Hibarette, Tournous-devant, Vielle-Aure…"
DT65-02220,communes d'Arrodets-ez-Angles NO et d'Escoubès.,communes d +Arrodets-ez-Angles NO et d'Escoubès.
DT65-02237,"commune de Campuzan O
         , fond. XIV° par le vicomte de Labarthe, vendu en ","commune de (Campan) +Campuzan O         , fond. XIV° par le vicomte de Labarthe, vendu en "
DT65-02239,"commune de Nistos (  Barous, inf. com)
         .","commune de Nistos (+Barous, inf. com)         ."
DT65-02255,"canton d'Ossun (aujourd'hui Vic SO), Bigorre :","canton d'Ossun (+aujourd'hui Vic SO), Bigorre :"
DT65-02267,entre les vallées d'Azun et de l'Ouzoum (Cap d'Aout).,entre les vallées d'Azun et de l'Ouzoum (+Cap d'Aout).
DT65-02268,"mont Estibé, ils se jettent dans le gave de Cauterets N.","Mont Estibé, ils se jettent dans le gave de Cauterets N."
DT65-02288,vallée de Campan SE (Payolle) :,vallée de Campan SE (+Payolle) :
DT65-02290,"mont Terrenère ; il arrose le bois de son nom, les ","Mont Terrenère ; il arrose le bois de son nom, les "
DT65-02301,"commune de Sazos SO
         .",commune de (Luz) +Sazos SO         .
DT65-02323,"commune de Boudrac (H.G.) NE
         .",commune de (Monléon) +Boudrac (H.G.) NE         .
DT65-02333,commune de Génos S (+2619 m).,commune de (Germ) +Génos S (+2619 m).
DT65-02338,vallée de Couplan (Vielle-Aure O) :,vallée de Couplan (+Vielle-Aure O) :
DT65-02341,communes d'Ancizan et d'Ilhet (écart Beyrède).,communes d'Ancizan et d'Ilhet (+écart Beyrède).
DT65-02344,communes de Barbazan-debat O (Lestremàu) et de Talazac.,communes de Barbazan-debat O (+Lestremàu) et de Talazac.
DT65-02349,communes d'Ouzous et Salles ; le ,communes d'Ouzous +et Salles ; le 
DT65-02350,commune de Monlong :,commune de Monlonge          :
DT65-02357,"commune de Cauterets S, 3005 m.","+commune de Cauterets S, 3005 m."
DT65-02431,communes de Beyrède-Jumet et de Vignec (écart Aspin).,communes de Beyrède-Jumet et de Vignec (+écart Aspin).
DT65-02451,"communes d'Argelès-en-Lavedan, Banios, Bettes, Capvern (NO), Lanespède, Montgaillard E.","communes d'Argelès en Lavedan, Banios, Bettes, Capvern (NO), Lanespède, Montgaillard E."
DT65-02460,"commune de Saint-Lary SO
         .",commune de (Azet) +Saint-Lary SO         .
DT65-02462,"commune de Aast (Basses-Pyrénées)
         .",commune de (Gardères) +Aast (Basses-Pyrénées)         .
DT65-02481,commune de Saint-Lary SO :,commune de (Tramesaygues) +Saint-Lary SO :
DT65-02493,"fontaine des Trois Gentilshommes (Trois Seigneurs), longe la ","fontaine des Trois Gentilshommes (+Trois Seigneurs), longe la "
DT65-02497,"près de Notre-Dame de Pouy-Lahün (Arrens SO)
          :",près de Notre-Dame de Pouy-Lahün (+Arrens SO)          :
DT65-02503,communes de Marsac et d'Ugnouas (Tostat E).,communes de Marsac et d'Ugnouas (+Tostat E).
DT65-02532,"commune de Bagnères (Neuilh.)
         .",commune de Bagnères (+Neuilh.)         .
DT65-02576,"villages de Luc SE et d'Orignac NE, affluent du Larret.","villages de +Luc SE et d'Orignac NE, affluent du Larret."
DT65-02591,"commune de Arrodets S
         .",commune de (Sère-Lanso) +Arrodets S         .
DT65-02598,"commune de Saint-Lary SO
         .",commune de (Azet) +Saint-Lary SO         .
DT65-02636,"canton de Nestier (aujourd'hui de Saint-Laurent SE), Barousse :","canton de Nestier (+aujourd'hui de Saint-Laurent SE), Barousse :"
DT65-02665,Leyrac (Lot-et-Garonne) :,Leyrac (L.G.) :
DT65-02676,"commune de (Tramezaygues) Aragnouet E
          :",commune de (Tramezaygues) +Aragnouet E          :
DT65-02684,"territoire de Cizos O
         , passe par ","territoire de (Betpouy) +Cizos O         , passe par "
DT65-02778,"communes d'Orleix, de Larreule, de Lannemezan S…","communes d'Orleix, de Larreule, +de Lannemezan S…"
DT65-02794,"commune de Vielle-Aure O
         .",commune de (Aragnouet) +Vielle-Aure O         .
DT65-02815,entre les vallées de Bun et de Marcadau (Estaing SE).,entre les vallées de Bun et de Marcadau (+Estaing SE).
DT65-02827,"commune de Cieutat SO et Avezac N
         .",commune de (Bonnemazon) +Cieutat SO et Avezac N         .
DT65-02830,"commune de Saint-Lary S
         .",commune de (Aragnouet) +Saint-Lary S         .
DT65-02837,"commune de Ferrières O
          :",commune de (Arbéost) +Ferrières O          :
DT65-02842,"commune de Salles-en-l'Estrème
         .",commune de Salles en l'Estrème         .
DT65-02847,"commune de Castelnau-Magnoac. SO
          :",commune de Castelnau-Magn. SO          :
DT65-02854,commune d’Ossun-ez-Angles.,commune d'Ossun ez Angles         .
DT65-02857,"canton de Nestier, aujourd'hui de Saint-Laurent SO, ","canton de Nestier, +aujourd'hui de Saint-Laurent SO, "
DT65-02874,commune d'Asson (Basses-Pyrénées).,commune +d'Asson (Basses-Pyrénées).
DT65-02875,"commune de Louey O
          (Cas.).",commune de (Ossun) +Louey O          (Cas.).
DT65-02876,"commune de Tramezaygues SO
         , passage ","commune de (Aragnouet) +Tramezaygues SO         , passage "
DT65-02878,canton de Sarrancolin (Donjon).,Cton de Sarrancolin (+Donjon).
DT65-02889,entre les vallées de Castelloubon et de Campan (Rosques ? Bagnères SO) :,entre les vallées de Castelloubon et de Campan (+Rosques ? Bagnères SO) :
DT65-02895,"commune de Asté O
         . Une inscription romaine trouvée au voisinage portait ",commune de (Bagnères) +Asté O         . Une inscription romaine trouvée au voisinage portait 
DT65-02917,lac de Loubassou (Luhos IGN).,lac de Loubassou (+Luhos IGN).
DT65-02922,entre le canal de Salles-Adour et celui du Moulin-de-Fitte.,entre le canal de Salles-Adour et celui du Moulin de Fitte.
DT65-02927,"commune de Cauterets S (Lutour)
         .",commune de Cauterets S (+Lutour)         .
DT65-02939,"communes d'Arreau O, de Campan (Hausse), de Galan, de Soulom SO (Hoze)…","communes d'Arreau O, de Campan (Hausse), de Galan, de (Nestalas) +Soulom SO (Hoze)…"
DT65-02950,Canton de Galan SO :,Cton de Galan SO :
DT65-02954,"commune de Sazos S, ou Hougarole, Saint-Savin SO.","commune de (Luz) +Sazos S (+Hougarole, Saint-Savin SO)         ."
DT65-02957,village de Villenave-près-Béarn d'où il se rend dans les ,"village de Villenave         , "
DT65-02957,Basses-Pyrénées.,près Béarn d'où il se rend dans les 
DT65-02970,"commune de Gaillagos ou d'Estaing S
         .",commune de Gaillagos (+Estaing S)         .
DT65-02984,"commune de Vier-Bordes (Hourquet ?)
         
      ",commune de Vier-Bordes (+Hourquet ?)               
