Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT37-00626,"Baate (la),",ancienne propriété,abbaye de Marmoutier,,"ancienne propriété de l’abbaye de Marmoutier,"
DT37-00629,"Babeaux (les Grands),",,paroisse du Petit-Pressigny,,"paroisse du Petit-Pressigny,"
DT37-00657,"Badouffles (le lieu des),",,Neuvy,,"commune de Neuvy-Roi, près du chemin de la Marottière à Neuvy."
DT37-00705,Bainha (,propriété,commanderie de Fretay,,"propriété de la commanderie de Fretay, en 1292."
DT37-00709,"Bains (châtellenie des), ou des Hautes-Varennes.",,"paroisses de Saint-Pierre-des-Corps, Montlouis (en partie), la Ville aux-Dames, Saint-Symphorien et Saint-Cyr (en partie), Berthenay, Saint-Genouph, Savonnières, Ballan, Joué",,"Sa juridiction (haute, moyenne et basse justice) s’étendait dans les paroisses de Saint-Pierre-des-Corps, Montlouis (en partie), la Ville aux-Dames, Saint-Symphorien et Saint-Cyr (en partie), Berthenay, Saint-Genouph, Savonnières, Ballan, Joué. Dans la ville de Tours, trois cent-quatre-vingt-six maisons, situées dans les paroisses de Saint-Pierre-du-Boile, Saint-Étienne, Saint-Vincent et La Riche, en relevaient censivement et judiciairement. "
DT37-00709,"Bains (châtellenie des), ou des Hautes-Varennes.",,"paroisses de Saint-Pierre-du-Boile, Saint-Étienne, Saint-Vincent et La Riche",,"Sa juridiction (haute, moyenne et basse justice) s’étendait dans les paroisses de Saint-Pierre-des-Corps, Montlouis (en partie), la Ville aux-Dames, Saint-Symphorien et Saint-Cyr (en partie), Berthenay, Saint-Genouph, Savonnières, Ballan, Joué. Dans la ville de Tours, trois cent-quatre-vingt-six maisons, situées dans les paroisses de Saint-Pierre-du-Boile, Saint-Étienne, Saint-Vincent et La Riche, en relevaient censivement et judiciairement. "
DT37-00749,"Balois (le lieu de),",,Coin de Boutin,,"commune de Manthelan, près du chemin de la Grande-Marche au Coin de Boutin."
DT37-00766,"Bannerie (la),",métairie,bourg d’Étableaux,,"métairie, située dans le bourg d’Étableaux, commune du Grand-Pressigny."
DT37-00817,"Sainte-Barbe (le lieu de),",,Chalentier,,"commune de Chançay, près du chemin de Vaux à Chalentier."
DT37-00820,"Sainte-Barbe (closerie de),",,bourg de Rochecorbon,,dans le bourg de Rochecorbon.
DT37-00821,"Sainte-Barbe (maison et chapelle de),",,bourg de Saint-Flovier,,"dans le bourg de Saint-Flovier, 1790. — (Archives d’Indre-et-Loire, Biens nationaux)."
DT37-00826,"Barbée (le lieu de la),",,Purzan,,"commune de Chaveignes, près du chemin de Courcoué à Purzan."
DT37-00828,Gouverne.,,Sentier,,"prend sa source près du Sentier, arrose le Boulay, et se jette dans la Bransle."
DT37-00828,Gouverne.,,le Boulay,,"prend sa source près du Sentier, arrose le Boulay, et se jette dans la Bransle."
DT37-00838,"Barbicilli, Barbezilli.",,entre l’église Saint-Martin et Beaumont,,"Il semble résulter des textes, qu’il était situé entre l’église Saint-Martin et Beaumont."
DT37-00850,"Barbotaine (le lieu de),",,bourg des Calteaux,,"près du bourg des Calteaux, commune de Saint-Patrice."
DT37-00875,"Bardilly (Adam de),",maître des eaux,"forêts de Touraine, Anjou, Poitou et Berry",,"maître des eaux et forêts de Touraine, Anjou, Poitou et Berry."
DT37-00876,"Bardin (la croix),",,Beauregard,,"commune de Ferrières-sur-Beaulieu, près du bourg, et du chemin de Beaulieu à Beauregard."
DT37-00878,"Bardinière (le lieu de la),",,environs d’Amboise,,"dans les environs d’Amboise,"
DT37-00922,"Barillonnière (la),",,Anjou,,en Anjou.
DT37-00926,"Barletière (l’aireau de la),",,près Loches,,"au Petit-Fretay, près Loches."
DT37-00988,"Barré (le Petit-),",ancien fief,paroisse Sainte-Geneviève de Luynes,,"ancien fief, situé dans la paroisse Sainte-Geneviève de Luynes,"
DT37-00996,"Barreaux-Fosse-Plate (le lieu des),",,Ageons,,"commune de Louans, près du chemin de Sainte-Maure aux Ageons."
DT37-01048,"Bas (le bois),",,Commandin,,"commune de Saint-Michel-sur-Loire, près du chemin de la Chaboissière à Commandin."
DT37-01089,"Basse (le bois de),",,Vignau,,"commune de Rilly, près du chemin de la Goupillère au Vignau."
DT37-01091,"Basse-Bretagne (le lieu de),",,bourg de Vallières,,"dans le bourg de Vallières, commune de Fondettes."
DT37-01132,"Bassinets (le lieu des),",,Verneuil,,"commune de Courcoué, près du chemin de Courcoué à Verneuil."
DT37-01133,"Bassins (le lieu des),",,Houdrière,,"commune de Pouzay, près du chemin de Chenevelles à la Houdrière."
DT37-01146,"Bataillerie (la croix de la),",,Beauchêne,,"commune d’Antogny, sur le chemin de Beauchêne à Séligny."
DT37-01146,"Bataillerie (la croix de la),",,Séligny,,"commune d’Antogny, sur le chemin de Beauchêne à Séligny."
DT37-01151,"Bataillière (le lieu de la),",,Sainte-Julitte,,"commune de Saint-Flovier, près du chemin de Saint-Flovier à Sainte-Julitte."
DT37-01180,"Batte (le lieu de la),",,Tremble,,"commune de Civray-sur-Cher, près du chemin de Chenonceau au Tremble."
DT37-01199,"Bauché,",ancienne châtellenie,Berry,,"ancienne châtellenie, située dans le Berry."
DT37-01216,"Baudiments (les),",ferme,Poitou,,"paroisse de Coussay, en Poitou."
DT37-01218,"Baudinette (le lieu de la),",,Morinière,,"commune de Vallères, près du chemin du Vau à la Morinière."
DT37-01248,Baugerais (forêt de).,forêt,"entre Loché, Baugerais et la Chapelle-Saint-Hippolyte",,"Cette forêt, autrefois considérable, s’étendait entre Loché, Baugerais et la Chapelle-Saint-Hippolyte et rejoignait la forêt de Loches à Aubigny."
DT37-01248,Baugerais (forêt de).,forêt,Aubigny,,"Cette forêt, autrefois considérable, s’étendait entre Loché, Baugerais et la Chapelle-Saint-Hippolyte et rejoignait la forêt de Loches à Aubigny."
DT37-01267,"Bault (bois de),",,château de Breuil,,"commune de Mazières, près du château de Breuil."
DT37-01292,"Beauçay, ou Bauçay,",,environs de Loudun,,à six kilomètres environs de Loudun (Vienne).
DT37-01293,"Beauce (le lieu de),",,Sainte-Julitte,,"commune de Charnizay, près du chemin de Preuilly à Sainte-Julitte."
DT37-01341,"Beaufils (le lieu des),",,paroisse du Grand-Pressigny,,"paroisse du Grand-Pressigny,"
DT37-01347,Beaufoux (le ruisseau de).,,sur les limites de Pernay et de Sonzay,,"Il naît dans l’étang de Beaufoux, commune de Semblançay, passe dans la commune de Sonzay et se jette dans la Brenne sur les limites de Pernay et de Sonzay."
DT37-01397,"Beaumont-en-Véron,",commune,Vienne,,"commune du canton et de l’arrondissement de Chinon, située entre la Vienne et la Loire,"
DT37-01397,"Beaumont-en-Véron,",commune,Loire,,"commune du canton et de l’arrondissement de Chinon, située entre la Vienne et la Loire,"
DT37-01465,"Beaurepaire (le ruisseau de),",,bourg de Chanceaux,,"prend sa source dans la commune de Mouzay, passe dans le bourg de Chanceaux, canton de Loches, et fait mouvoir le moulin de Chantereine."
DT37-01465,"Beaurepaire (le ruisseau de),",,moulin de Chantereine,,"prend sa source dans la commune de Mouzay, passe dans le bourg de Chanceaux, canton de Loches, et fait mouvoir le moulin de Chantereine."
DT37-01545,"Bedecher (le lieu de),",,Menardière,,"commune de la Tour-Saint-Gelin, près du chemin des Charpentières à la Menardière."
DT37-01655,"Bellabry-Buhordière (closerie de),",,bourg de Vallières,,dans le bourg de Vallières (commune de Fondettes).
DT37-01767,"Belloacum,",,Noyers,,entre Nouatre et Noyers.
DT37-01796,"Benais (le lieu de),",,Beaurepaire,,"commune de Mouzay, près du chemin de Mouzay à Beaurepaire."
DT37-01827,"Bénitier de Mazières (le lieu du),",,Nantes,,"commune de Saint-Mars, à peu de distance de l’ancienne route de Nantes à Paris."
DT37-01827,"Bénitier de Mazières (le lieu du),",,Paris,,"commune de Saint-Mars, à peu de distance de l’ancienne route de Nantes à Paris."
DT37-01905,"Bergeries (le lieu des),",,Touches,,"commune de Civray-sur-Cher, près du chemin de Mesvres aux Touches."
DT37-01906,"Bergeriou (le lieu de),",,Valmer,,"commune de Chançay, près du chemin de Vernou à Valmer."
DT37-01940,Bernier (le fief).,,bourg d’Auzouer,,Il était situé dans le bourg d’Auzouer et relevait de la baronnie de Vernou et du fief du Plessis-Auzouer.
DT37-01943,"Berre (la croix de la),",,Sainte-Catherine,,"commune de Sainte-Catherine-de-Fierbois, près du chemin de la Tinellière à Sainte-Catherine."
DT37-01948,"Berrier (le lieu de),",,côté de Villandry,,du côté de Villandry.
DT37-01973,"Bertelleries (la fosse des),",,Croix-de-Ré,,"commune de Saint-Branchs, près du chemin de la Monnière à la Croix-de-Ré."
DT37-01975,"Bertelon (le bois),",,Bournay,,"commune de Razines, près du chemin du Moulin-Joubert à Bournay."
DT37-02003,"Berthonnière (croix de la),",,Recordière,,"commune de Loché, près du chemin de Loché à la Recordière."
DT37-02016,"Bertinières (le lieu des),",,Maisons-Neuves,,"commune de Bossée, près du chemin de la Bulottière aux Maisons-Neuves."
DT37-02035,"Berverette (le lieu de),",,Rouanceau,,"commune de Charnizay, près du chemin de Sainte-Julitte à Rouanceau."
DT37-02039,"Beslienés (le lieu des),",,Guineaux,,"commune de Luzé, près du chemin de Luzé aux Guineaux."
DT37-02086,Bessiarum (,Forêt,du côté de Saunay,,"Forêt, située du côté de Saunay."
DT37-02087,"Bessière (la fosse de la),",,Essarts,,"commune d’Ingrandes, près du chemin d’Ingrandes aux Essarts."
DT37-02089,"Bessière (fosse de la),",,Pont-Boutard,,"commune de Saint-Patrice, près du chemin de Fontenay à Pont-Boutard."
DT37-02097,"Betulum (le lieu de),",,abbaye de Turpenay,,mentionné dans une charte de l’abbaye de Turpenay de 1190.
DT37-02121,"Bezault (la croix),",,Plessis,,"près du chemin du Plessis, commune de Chemillé-sur-Indrois."
DT37-02122,Bezay (le fief de).,,paroisses de Saint-Cyr et de Saint-Symphorien,,"Il s’étendait sur quatre-vingt-quinze maisons situées dans les paroisses de Saint-Cyr et de Saint-Symphorien, et relevait de la baronnie de Châteauneuf à foi et hommage-lige."
DT37-02162,"Bignon, ou Bignou (la fontaine),",,Neuvy,,"commune de Neuvy-Roi, près du chemin de la Chartre à Neuvy."
DT37-02166,Bigot (le fief).,,paroisses de la Celle-Saint-Avant et de Draché,,Il s’étendait sur les paroisses de la Celle-Saint-Avant et de Draché.
DT37-02182,"Bigué (le lieu de),",,Obterre,,"commune de Charnizay, près du chemin de Pressigny à Obterre."
DT37-02185,"Biletière (maison de la),",,faubourg Saint-Nicolas de Preuilly,,dans le faubourg Saint-Nicolas de Preuilly.
DT37-02187,"Billard (la croix),",,Tour-Saint-Gelin,,"commune de la Tour-Saint-Gelin, sur le chemin de la Tour-Saint-Gelin à Courcoue."
DT37-02197,"Billauderie (maison et closerie de la),",,bourg de Colombiers,,"dans le bourg de Colombiers (aujourd’hui Villandry), 1629."
DT37-02221,"Billoi (le lieu de),",,Beaurepaire,,"commune de Mouzay, près du chemin de Mouzay à Beaurepaire."
DT37-02295,Blanchandinière (le fief de la).,,paroisses de Berthenay et de Savonnières,,Il 248s’étendait sur les paroisses de Berthenay et de Savonnières et comprenait neuf arpents de terres labourables et de bois.
DT37-02313,"Blanche (la croix),",,Cloisons,,"commune de Sazilly, au lieu appelé les Cloisons, sur les limites de la commune de Tavant."
DT37-02314,"Blanche (la croix),",,Tour-Saint-Gelin,,"commune de la Tour-Saint-Gelin, sur le chemin de Theneuil à la Tour-Saint-Gelin."
DT37-02321,"Blanches (fontaine des),",,Civray,,"commune de Civray-sur-Esves, près du chemin de Cussay à Civray."
DT37-02323,"Blanchet (le lieu de),",,Joumeraie,,"commune de Sepmes, près du chemin de Sainte-Maure à la Joumeraie."
DT37-02327,"Blanchetière (ruisseau ou courance de la),",,limites du Grand-Pressigny et d’Abilly,,sur les limites du Grand-Pressigny et d’Abilly.
DT37-02353,Blemars (forêt de).,,"paroisses d’Autrèche, de Damemarie, de Cangy, de Morand, de Saint-Étienne-des-Guérets, de Saint-Nicolas-des-Motets, de Saint-Ouen et de Limeray",,"Elle s’étendait sur les paroisses d’Autrèche, de Damemarie, de Cangy, de Morand, de Saint-Étienne-des-Guérets, de Saint-Nicolas-des-Motets, de Saint-Ouen et de Limeray."
DT37-02370,"Blond (le fief),",,bourg de Savigné,,situé dans le bourg de Savigné.
DT37-02389,"Blottière (les Grande et Petite-),",métairies,Encloître,,"métairies, situées à l’Encloître, commune de Beaumont-la-Ronce."
DT37-02444,"Boiceau (le fief),",,Poitou,,en Poitou.
DT37-02454,Boire (les ruisseaux de la Grande et Petite-).,,lieu appelé la Basse-Prône,,Ils arrosent les communes de la Chapelle-Saint-Hippolyte et de Saint-Germain et se jettent dans l’Indre au lieu appelé la Basse-Prône.
DT37-02458,"Boire-Berlotte (le lieu de la),",,Bellevue,,"commune de Marçay, canton de Richelieu, près du chemin de Conesme à Bellevue."
DT37-02494,"Bois-Adrien (le lieu de),",,Haye,,"commune de Maillé, près du chemin de Chinon à la Haye."
DT37-02505,Boisauger (forêt de).,,"entre Perrusson, Loches, Chanceaux, Dolus et Chambourg",,"Elle s’étendait entre Perrusson, Loches, Chanceaux, Dolus et Chambourg."
DT37-02525,"Bois-Blanc (le lieu de),",,Haye,,"commune de Marcé-sur-Esves, près du chemin de Jarcy à la Haye."
DT37-02527,"Bois-Bonhomme (le lieu de),",,Petite-Carte,,"commune du Petit-Pressigny, près du chemin des Plaudières à la Petite-Carte."
DT37-02543,"Bois-Brevent (le lieu de),",,Grouais,,"commune du Grand-Pressigny, près du chemin de Barrou à la Grouais."
DT37-02587,"Bois-Communaux (le lieu des),",,paroisse du Grand-Pressigny,,paroisse du Grand-Pressigny.
DT37-02621,"Boisdenier (maison de),",,bourg de l’Encloître,,"dans le bourg de l’Encloître, commune de Beaumont-la-Ronce."
DT37-02626,"Boisdenier (métairie de),",,paroisse Saint-Venant,,"paroisse Saint-Venant, à Luynes."
DT37-02632,"Bois-de-Pincé (le lieu de),",,moulin de Fromentières,,"commune de Huismes, près du chemin du Petit-Bois au moulin de Fromentières."
DT37-02656,"Bois-du-Plessis,",ancien fief,châtellenie de Paulmy,,"ancien fief, uni à la châtellenie de Paulmy au xvie siècle. — (Archives d’Indre-et-Loire, E)."
DT37-02717,"Bois-Impérial, Bois-Impériaux,",forêts,État,,"noms donnés, sous l’Empire, aux forêts de l’État."
DT37-02722,"Bois-Jenci (le fief de), ou Boisgency.",,bourg de Maillé (aujourd’hui Luynes),,Il était situé dans le bourg de Maillé (aujourd’hui Luynes).
DT37-02730,"Bois-Joubert (le lieu de),",,Saulaie,,"commune de Saint-Épain, près du chemin des Joineaux à la Saulaie."
DT37-02740,"Bois-Lopin (le lieu de),",,Bordeaux,,"commune de Chambray, près de la route de Paris à Bordeaux."
DT37-02784,"Bois-Perdus (le lieu des),",,Bruyères,,"commune de la Tour-Saint-Gelin, près du chemin de Chinon aux Bruyères."
DT37-02854,"Bois-Saint-Martin,",bois,depuis Vençay (Saint-Avertin) et Bois-Rahier jusqu’aux environs de Courçay,,bois. Il faisait partie de la forêt de Bréchenay et s’étendait depuis Vençay (Saint-Avertin) et Bois-Rahier jusqu’aux environs de Courçay.
DT37-02955,"Boite (la fosse de la),",,Remetières,,"près du chemin des Remetières, commune de Notre-Dame-d’Oë."
DT37-03044,"Bonne-Boisseau (le lieu de la),",,Port-Boulet,,"commune de Savigny, près du chemin de Savigny à Port-Boulet."
DT37-03058,"Bonnerie (le lieu de la),",,paroisse Saint-Denis-hors,,paroisse Saint-Denis-hors.
DT37-03059,"Bonnet (île),",,Indre,,"dans l’Indre, près de Neman, commune d’Avoine."
DT37-03074,"Bonnin (le bois),",,Obterre,,"commune de Saint-Flovier, près du chemin de Saint-Flovier à Obterre."
DT37-03088,Bor ou Bort (garenne ou bois de).,,"paroisses de Candes, Cinais, Couziers, Fontevrault, Lerné, Roiffé, Seuilly et Thizay",,"Bor, ou Bort est le nom primitif de la forêt de Fontevraud qui s’étendait sur les paroisses de Candes, Cinais, Couziers, Fontevrault, Lerné, Roiffé, Seuilly et Thizay. Au xiiie siècle, il s’appliquait plus particulièrement aux bois situés entre Lerné, Couziers, Thizay et Seuilly."
DT37-03088,Bor ou Bort (garenne ou bois de).,,"entre Lerné, Couziers, Thizay et Seuilly",,"Bor, ou Bort est le nom primitif de la forêt de Fontevraud qui s’étendait sur les paroisses de Candes, Cinais, Couziers, Fontevrault, Lerné, Roiffé, Seuilly et Thizay. Au xiiie siècle, il s’appliquait plus particulièrement aux bois situés entre Lerné, Couziers, Thizay et Seuilly."
DT37-03133,"Bordebure (le lieu de),",,paroisse du Grand-Pressigny,,paroisse du Grand-Pressigny.
DT37-03207,"Borne-Percée (le lieu de la),",,Forge,,"commune de Chaveignes, près du chemin de Champigny à la Forge. — (Plan cadastral, section A, 3e feuille)."
DT37-03232,"Bossurière (fosse de la),",,Touches,,"commune de Civray-sur-Cher, près du chemin de Vaux aux Touches."
DT37-03246,"Boubin (la croix),",,Châtillon,,"commune de Loché, près du chemin de Loché à Châtillon."
DT37-03272,"Bouchaud (le),",,Marcilly,,"commune de Marcilly-sur-Vienne, près du chemin de Rilly à Marcilly."
DT37-03274,"Bouché,",,Poitou,,"paroisse de Saint-Christophe, en Poitou."
DT37-03310,"Boucle (le lieu de la),",,la Morellerie,,"commune de Continvoir, près du chemin de la Pichardière à la Morellerie."
DT37-03359,"Bougeries (le lieu des),",,Croix-des-Barres,,"commune de Sainte-Catherine-de-Fierbois, près du chemin de la Tinellière à la Croix-des-Barres."
DT37-03372,"Bouillardière (le lieu de la),",,Chalentier,,"commune de Chançay, près du chemin de Chançay à Chalentier."
DT37-03469,"Bouquet (le lieu du),",,Viauvy,,"commune du Petit-Pressigny, près du chemin des Bordes à Viauvy."
DT37-03537,Bourdillière (ruisseau de la).,,l’Arche-de-la-Ganoire,,"Il prend sa source à l’Arche-de-la-Ganoire, sur les limites de Notre-Dame-d’Oë et de Chanceaux-sur-Choisille, et se jette dans la Choisille, près du Moulin-Neuf, commune de Chanceaux."
DT37-03537,Bourdillière (ruisseau de la).,,sur les limites de Notre-Dame-d’Oë et de Chanceaux-sur-Choisille,,"Il prend sa source à l’Arche-de-la-Ganoire, sur les limites de Notre-Dame-d’Oë et de Chanceaux-sur-Choisille, et se jette dans la Choisille, près du Moulin-Neuf, commune de Chanceaux."
DT37-03553,"Bourdon (la croix),",,Sainte-Catherine,,"commune de Saint-Épain, sur le chemin de Saint-Epain à Sainte-Catherine, et près de la Martinière."
DT37-03593,"Bourg (la croix du),",,Lauresse,,"commune de Seuilly, près du chemin de Seuilly à Lauresse."
DT37-03663,"Bourgonnière (la),",,paroisse Saint-Denis-hors,,paroisse Saint-Denis-hors.
DT37-03710,"Bourossé, ou Bourassé (le lieu de),",,paroisse du Liège,,paroisse du Liège.
DT37-03768,"Bout-des-Ponts (le),",,faubourg d’Amboise,,faubourg d’Amboise.
DT37-03769,"Bout-des-Ponts (le),",partie,bourg de Montrésor,,nom d’une partie du bourg de Montrésor.
DT37-03772,"Bout-du-Pavé (le),",,faubourg de Loches,,"faubourg de Loches,"
DT37-03788,"Bouterais (la croix des),",,Lésigny,,"commune de Barrou, près de Fonds-Grouais et du chemin de Lésigny à Étableaux."
DT37-03788,"Bouterais (la croix des),",,Étableaux,,"commune de Barrou, près de Fonds-Grouais et du chemin de Lésigny à Étableaux."
DT37-03815,"Bouvinière (la), Bouinière, Boynière, ou Petit-Bois,",,ancien fief,,"ancien fief, commune d’Azay-sur-Cher."
DT37-03827,"Brai (forêt de), ou Bray.",,"paroisses de Lussault, Montlouis et de la Ville-aux-Dames",,"Elle joignait la forêt d’Amboise, s’étendait le long de la Loire, sur les paroisses de Lussault, Montlouis et de la Ville-aux-Dames et se prolongeait, au sud, vers Saint-Martin-le-Beau."
DT37-03827,"Brai (forêt de), ou Bray.",,vers Saint-Martin-le-Beau,,"Elle joignait la forêt d’Amboise, s’étendait le long de la Loire, sur les paroisses de Lussault, Montlouis et de la Ville-aux-Dames et se prolongeait, au sud, vers Saint-Martin-le-Beau."
DT37-03837,Saint-Branchs (ruisseau de).,,"Ré, à l’Étang, aux Allets",,"Il prend sa source à Pont-Germain, près de la Morissière, commune de Saint-Branchs, passe à Ré, à l’Étang, aux Allets, pénètre dans la commune de Veigné, au lieu appelé le Pont de la Jugée et va se jeter dans l’Indre."
DT37-03873,"Brault (la croix),",,Boisgirault,,"commune de Neuvy-Roi, près du chemin de Neuvy à Boisgirault."
DT37-03897,Bray (forêt de).,,entre le bourg et la partie appelée aujourd’hui la Grande-Lande de Souvigné,,"Elle s’étendait dans la paroisse de Souvigné, entre le bourg et la partie appelée aujourd’hui la Grande-Lande de Souvigné."
DT37-03918,Brechenay (forêt de).,,"paroisses de Larçay, Véretz, Esvres, Azay-sur-Cher, Ballan, Chambray, Joué, Miré, Athée, Truyes, Cormery, Courçay, Cigogné, Sublaines et Bléré",,"Elle s’étendait sur les paroisses de Larçay, Véretz, Esvres, Azay-sur-Cher, Ballan, Chambray, Joué, Miré, Athée, Truyes, Cormery, Courçay, Cigogné, Sublaines et Bléré."
DT37-03949,"Bremallerie (le lieu de la),",,paroisse du Grand-Pressigny,,paroisse du Grand-Pressigny.
DT37-03953,"Bremallons (le lieu des),",,Germain,,"commune de Saint-Flovier, près du chemin de Saint-Flovier à Germain."
DT37-03967,"Brenne (la),",rivière,"le Port-de-la-Cuve, ou Parc-Moreau",,"rivière. Elle prend sa source près de Crucheré, dans le Vendômois, pénètre dans le département d’Indre-et-Loire par Neuville, fait mouvoir les moulins de Neuville, de Préchêne et du Gravier, passe ensuite dans les communes de Châteaurenault, Villedômer, Auzouer, Neuillé-le-Lierre, Reugny, Chançay, Vernou, et se réunit à la Cisse, au lieu appelé le Port-de-la-Cuve, ou Parc-Moreau."
DT37-03970,"Brépinbréponnières (le lieu des),",,Saint-Baud,,"commune de Louans, près du chemin de Louans à Saint-Baud."
DT37-03974,"Bresme, ou Brême,",rivière,Bresme,,"rivière. Elle prend sa source dans l’étang de Tuane, commune de Semblançay, passe à Bresme, va dans la commune de Sonzay, où elle reçoit un ruisseau venant de l’étang de Tournelune, et le ruisseau de Beaufoux, entre dans la commune de Pernay, où elle se joint au ruisseau de Garaude, traverse les communes de Luynes et de Saint-Étienne-de-Chigny, et se jette dans la Loire au lieu appelé le Jard."
DT37-03974,"Bresme, ou Brême,",rivière,le Jard,,"rivière. Elle prend sa source dans l’étang de Tuane, commune de Semblançay, passe à Bresme, va dans la commune de Sonzay, où elle reçoit un ruisseau venant de l’étang de Tournelune, et le ruisseau de Beaufoux, entre dans la commune de Pernay, où elle se joint au ruisseau de Garaude, traverse les communes de Luynes et de Saint-Étienne-de-Chigny, et se jette dans la Loire au lieu appelé le Jard."
DT37-03994,Moulin-Berteau,,Commune de Pussigny,,Commune de Pussigny.
DT37-04006,Bretonnerie (,,Beaulieu près Loches,,dans la paroisse Saint-André de Beaulieu près Loches.
DT37-04063,"Breuil (le ruisseau de),",,Baumellerie,,"prend sa source dans la commune de Mazières, entre la Baumellerie et la Pelissière, reçoit, près des Écluses, le ruisseau de l’étang de Jupilles, fait mouvoir les moulins de l’Étang, du Breuil et de Cutaison, reçoit les eaux du ruisseau de l’Oucherie, au lieu appelé le Pré-du-Breuil, passe dans la commune de Saint-Mars, où il fournit la force motrice aux moulins de Vélantan, de la Goupillère, de Racault, du Milieu, des Trats, prend le nom de la Boire et se jette dans la Loire."
