Article,Vedette,Type vedette,Candidat,INSEE,Définition,Problème
DT42-04291,"Eschabon (L'),",ruisseau,"
Haute-Loire
",non,"
ruisseau, appelé aussi l'Écharpe, et Bois-d'État. Prend sa source dans la 
Haute-Loire
, sert ensuite de limite aux communes du Chambon-Feugerolles et de Firminy. Affluent de l'Ondaine.",
DT42-05195,"Gampille (La),",ruisseau,"
Haute-Loire
",non,"
ruisseau. Prend sa source dans la 
Haute-Loire
, traverse la commune de Chazeau et se jette dans l'Ondaine, commune de Firminy.",
DT42-09560,"Pont-de-Poncins,",,"
Lignon
",non,"sur le 
Lignon
.",
DT42-09569,"Pont-de-Sail-sous-Couzan,",,"
Lignon
",non,"sur le 
Lignon
.",
DT42-09574,"Pont-de-Sauvain,",,"
Lignon
",non,"sur le 
Lignon
.",
DT42-09578,"Pont-de-Trelins,",,"
Lignon
",non,"sur le 
Lignon
.",
DT42-09635,"Ponts de Leigneux,",,"
Lignon
",non,"sur le 
Lignon
.",
DT42-09568,"Pont-de-Rivas,",,"
Loire
",non,"sur la 
Loire
.",
DT42-09573,"Pont de Saint Maurice sur Loire,",,"
Loire
",non,"sur la 
Loire
.",
DT42-09585,"Pont de Villerest,",,"
Loire
",non,"sur la 
Loire
.",
DT42-09550,"Pont-de-l'Hôpital-le-Grand,",,"
Mare
",non,"sur la 
Mare
.",
DT42-09596,"Pont-du-Mas-Chabret,",ruisseau,"
Mas-Chabret
",non,"sur le ruisseau qui borde 
Mas-Chabret
, commune de Champoly.",
DT42-06199,"Hôpital (L'),",lieu détruit,"
Messilleux
",non,"
lieu détruit, à 
Messilleux
, commune de Précieux.",
DT42-09826,"Pré-de-la-Foire,",place,"
Place-du-Peuple
",non,"ancien nom de la place appelée 
Place-du-Peuple
, dans la ville de Saint-Étienne.",
DT42-09566,"Pont-de-Régny,",,"
Rhins
",non,"sur le 
Rhins
.",
DT42-00149,"Aqua Docta,",localité indéterminée,"
Roannais
",non,"
localité indéterminée en 
Roannais
.",
DT42-00158,Arciacus,"villa, localité indéterminée","
Roannais
",non,"
villa, localité indéterminée en 
Roannais
, peut-être dans le canton de Saint-Haon-le-Châtel.",
DT42-05965,"Grenette (Place),",,"
Saint-Étienne
",42218,"à 
Saint-Étienne
.",
DT42-09634,"Ponts de Charlieu,",,"
Sornin
",non,"sur le 
Sornin
.",
DT42-09553,"Pont-de-Mornant,",,"
Vizézy
",non,"sur le 
Vizézy
.",
DT42-09561,"Pont-de-Poncins,",,"
Vizézy
",non,"sur le 
Vizézy
.",
DT42-09672,"Port (Le),",maison isolée,Aiguilly,non,"
maison isolée, près de la Loire, à Aiguilly, commune de Vougy.",
DT42-08278,"Murette (La),",lieu détruit,ancien Hôpital de Saint-Jean-de-Jérusalem,non,"
lieu détruit, ancien Hôpital de Saint-Jean-de-Jérusalem, commune de La Fouillouse.",
DT42-07013,"Maladière (La),",lieu détruit,ancienne voie de Montbrison au Puy-en-Velay,non,"
lieu détruit, commune de Soleymieux, près du village Le Pont, sur l'ancienne voie de Montbrison au Puy-en-Velay.",
DT42-03392,"Torcenniacus,",paroisse disparue,archiprêtré de Pommiers,non,"
paroisse disparue, citée après Nervieux et Mizérieux, dans l'archiprêtré de Pommiers. Canton de Boën ?
      ",
DT42-07392,"Maximiacus,",lieu et paroisse,archiprêtré de Roanne,non,"
lieu et paroisse disparus dans l'archiprêtré de Roanne, près de Saint-Priest-la-Roche.",
DT42-02626,"Châtelard,",territoire,au-dessous de Puy-Morand,non,"
territoire 
au-dessous de Puy-Morand, commune de Saint-Jean-la-Vêtre.",
DT42-00039,"Aigue-Bœuf (L'),",ruisseau,"au-dessus de Saint-Julien-Molin-Molette
",42246,"
ruisseau. Affluent du Ternay au-dessus de Saint-Julien-Molin-Molette
.",
DT42-06519,"Lachet (Le),",ruisseau,aval de Chalmazel,non,"
ruisseau. Coule dans la commune de Chalmazel, près des lieux-dits Lachet et Grossat. Affluent du Lignon en aval de Chalmazel.",
DT42-06899,Mâconnais (Le).,vaste circonscription géographique,"Belmont, Saint-Germain-la-Montagne",non,"Cette vaste circonscription géographique 
511englobait quelques paroisses situées au nord-est du département de la Loire : Belmont, Saint-Germain-la-Montagne qui étaient partie en Lyonnais, partie en Mâconnais. Peut-être Saint-Denis-de-Cabanne était-il situé dans le pagus Matisconensis qui comprenait un ager Morgonicus dont le chef-lieu aurait été, d'après A. Bernard, Morgon, commune de Villié (Rhône).",
DT42-00056,"Aix (L'),",rivière,bois de Molette,non,"
rivière. Source dans les bois de Molette. Traverse les cantons de Saint-Just-en-Chevalet et de Saint-Germain-Laval. Affluent de la Loire, commune de Saint-Georges-de-Baroille.",
DT42-09065,"Pierre-des-Fées,",lieu-dit,bois de Molette,non,"
lieu-dit, commune de Saint-Priest-la-Prugne, dans le bois de Molette. Signalé par la carte de l'État-major.",
DT42-10386,Robertane (Ruisseau de).,,bois de Robertane,non,"Prend sa source dans les bois de Robertane, commune de Saint-Genest-Lerpt. Affluent du Riodelay, commune de La Fouillouse.",
DT42-04818,"Font-Chalon,",lieu-dit,bourg d'Andrézieux,42005,"
lieu-dit dans le bourg d'Andrézieux.",
DT42-05748,"Grand'Cour (La),",quartier,bourg d'Andrézieux,42005,"
quartier du bourg d'Andrézieux.",
DT42-02380,Charavay.,ruisseau,"bourg de Chavanay
",42056,"Nom disparu d'un ruisseau dans le bourg de Chavanay
.",
DT42-10606,"Rouardes (Les),",quartier,"bourg de L'Horme
",42110,"
quartier du bourg de L'Horme
 s'étendant sur la commune de Saint-Paul-en-Jarez.",
DT42-06187,"Hôpital (L'),",lieu détruit,"bourg de Lay
",42118,"
lieu détruit, dans le bourg de Lay
.",
DT42-08652,"Palu (Place du),",place,"bourg de Néronde
",42154,"
place, dans le bourg de Néronde
.",
DT42-11465,"Suchet (Le),",quartier et place,"bourg de Saint-Bonnet-le-Château
",42204,"
quartier et place dans le bourg de Saint-Bonnet-le-Château
.",
DT42-03213,"Colombier (Le),",maison crénelée,"bourg de Saint-Marcellin
",42256,"
maison crénelée dans le bourg de Saint-Marcellin
.",
DT42-07062,Malignolus Fluvius.,ruisseau,"bourg de Saint-Pierre-de-Bœuf
",42272,"Nom disparu d'un ruisseau qui coulait dans le bourg de Saint-Pierre-de-Bœuf
.",
DT42-03392,"Torcenniacus,",paroisse disparue,Canton de Boën ?,non,"
paroisse disparue, citée après Nervieux et Mizérieux, dans l'archiprêtré de Pommiers. Canton de Boën ?
      ",
DT42-00016,"Adennacus villa,",lieu indéterminé,Chadenat sur Saint-Laurent-Rochefort,non,"
lieu indéterminé que A. Bernard assimile probablement à tort à Chadenat sur Saint-Laurent-Rochefort.",
DT42-11375,"Siriacus,",lieu détruit,Chambœuf et Jourcey,non,"
lieu détruit, cité avec Chambœuf et Jourcey.",
DT42-10542,"Romelenz,",lieu détruit,Changy ou Saint-Forgeux-l'Espinasse,42049/42220,"
lieu détruit, sur Changy ou Saint-Forgeux-l'Espinasse.",
DT42-10866,"Sainte-Famille,",chapelle,château de Bullions,non,"
chapelle dans le château de Bullions, commune de Chambéon.",
DT42-10914,Saint-Georges (Chapelle).,Chapelle,château de Feugerolles,non,"
Chapelle du château de Feugerolles, commune du Chambon-Feugerolles.",
DT42-10861,"Sainte Catherine de la Faye,",chapelle,château de La Faye,non,"
chapelle du château de La Faye.",
DT42-10862,"Sainte-Catherine-de-la-Liègue,",chapelle,château de La Liègue,non,"
chapelle du château de La Liègue.",
DT42-10857,"Sainte Catherine,",chapelle,Château de Miribel,non,"
chapelle domestique du Château de Miribel.",
DT42-10860,"Sainte-Catherine,",chapelle,château de Pélussin,42168,"
chapelle dans le château de Pélussin.",
DT42-10686,"Ruffieu,",ancien quartier,château de Saint-Genis-Terrenoire,42218,"
ancien quartier du château de Saint-Genis-Terrenoire.",
DT42-10915,Saint-Georges (Chapelle).,Chapelle,château de Virieux,non,"
Chapelle du château de Virieux.",
DT42-10858,"Sainte Catherine,",chapelle domestique,château du Fay,non,"
chapelle domestique du château du Fay 
(A Chaverondier, Testaments, p. 25).",
DT42-05359,"Gayesy (La),",lieu détruit,Chirassimont ou Machézal,42063/42128,"
lieu détruit sur Chirassimont ou Machézal.",
DT42-08405,"Notre-Dame-de-Chalain,",chapelle,"cimetière de Chalain-le-Comtal
",42038,"
chapelle, dans le cimetière de Chalain-le-Comtal
.",
DT42-10897,"Saint-Étienne,",chapelle,"cimetière de Sury-le-Comtal
",42304,"
chapelle dans le cimetière de Sury-le-Comtal
.",
DT42-04310,"Escullieu (Le Peu),",lieu détruit,commune ,,"
lieu détruit, près d’Anézieux, commune 308de Soleymieux.",Problème
DT42-04447,"Eyrieux (Goutte d'),",ruisseau,commune ,,"
ruisseau. Coule dans la commune 321d'Essertines-en-Châtelneuf, près du hameau d'Eyrieux. Affluent du Vizezy.",
DT42-10252,Nantey.,,commune ,,"— Prend sa source commune 801de Saint-Jean-Bonnefonds où il passe près de Nantas, borde ensuite le lieu-dit Ricolin et se jette dans le Janon, commune d’Izieux.",
DT42-07080,"Malleval (Le),",ruisseau,commune Malleval,42132,"
ruisseau. Prend sa source commune de Véranne, traverse celles de Roisey et de Bessey. Ses eaux se mêlent à celles du Malleval ou Bataillon dans la commune Malleval. Affluent du Rhône.",
DT42-11132,"Salvigneux,",hameau,commune Pavezin,42167,"
hameau, commune Pavezin.",
DT42-01668,"Bruchet (Le),",hameau,commune Saint-Laurent-Rochefort,42252,"
hameau, commune Saint-Laurent-Rochefort.",
DT42-05306,"Garnes (Les),",maison isolée,commune Saint-Rirand,42252,"
maison isolée, commune Saint-Rirand.",
DT42-06551,"Laly,",lieu détruit,commune Villerest,42332,"
lieu détruit, commune Villerest, près du bourg.",
DT42-04124,"Duc (Clos),",lieu détruit,Dargoire ou Tartaras,42083/42307,"
lieu détruit sur Dargoire ou Tartaras.",
DT42-00396,"Barbenan (Le),",ruisseau,département de l'Allier,non,"
ruisseau. Sert de limite à la commune de Saint-Bonnet-des-Quarts et au département de l'Allier où il poursuit son cours.",
DT42-00630,"Bèbre (La),",rivière,département de l'Allier,non,"
rivière. Coule dans la commune de Saint-Priest-la-Prugne et passe dans le département de l'Allier.",
DT42-04373,Étang (Ruisseau de l').,,département de l'Allier,non,Coule dans la commune de Saint-Martin-d'Estreaux et passe dans le département de l'Allier.,
DT42-11306,"Sernay (Le),",ruisseau,département de l'Allier,non,"
ruisseau. Sert de limite à la commune d’Urbise et au département de l'Allier et continue son cours en Saône-et-Loire.",
DT42-00400,"Barbet (Le),",ruisseau,département de l'Ardèche,non,"
ruisseau. Limite entre la commune de Burdignes et le département de l'Ardèche.",
DT42-03278,Combenoire (Ruisseau de).,,département de l'Ardèche,non,"Prend sa source près du hameau de Combenoire, commune de Saint-Julien-Molin-Molette et poursuit son cours dans le département de l'Ardèche.",
DT42-04017,"Déôme (La),",rivière,département de l'Ardèche,non,"
rivière. Traverse les communes de Saint-Sauveur-en-Rue et de Bourg-Argental et passe dans le département de l'Ardèche.",
DT42-04956,"Fossin (Raze du),",ruisseau,département de l'Ardèche,non,"
ruisseau. Sert de limite, sur un faible parcours, à la commune de Burdignes et au département de l'Ardèche.",
DT42-06157,"Hermus (L'),",ruisseau,département de l'Ardèche,non,"
ruisseau. Coule dans la commune de Burdignes, près du lieu-dit L'Hermus et passe dans le département de l'Ardèche.",
DT42-06270,"Ingrodon (L'),",ruisseau,département de l'Ardèche,non,"
ruisseau. Sert de limite à la commune de Burdignes et au département de l'Ardèche.",
DT42-06606,Laure (Ruisseau du Moulin).,ruisseau,département de l'Ardèche,non,Ce ruisseau coule dans la commune de Burdignes et continue son cours dans le département de l'Ardèche.,
DT42-06737,"Limony (Le),",ruisseau,département de l'Ardèche,non,"
ruisseau. Prend sa source dans la commune de Saint-Julien-Molin-Molette, sert ensuite de limite au canton de Pélussin et au département de l'Ardèche où il continue son cours, et rejoint le Rhône à Limony. Ce ruisseau borde dans la commune de Maclas le hameau de Limonne.",
DT42-00578,"Béard (Rasa de la),","ruisseau, ravin",département de la Haute-Loire,non,"
ruisseau, ravin. Limite de la commune de Rozier-Côtes-d'Aurec et du département de la Haute-Loire.",
DT42-00887,Bezan (Ruisseau de).,,département de la Haute-Loire,non,Coule dans la commune de Merle. Affluent de l'Andrable dans le département de la Haute-Loire.,
DT42-03084,"Clavières (Rasa des),",ruisseau,département de la Haute-Loire,non,"
ruisseau. Limite de la commune de Rozier-Côtes-d'Aurec et du département de la Haute-Loire.",
DT42-03554,Courbière (Ruisseau de).,ruisseau,département de la Haute-Loire,non,Ce ruisseau sert de limite à la commune de Saint-Hilaire-Cusson-la-Valmitte et au département de la Haute-Loire où il continue son cours.,
DT42-04139,"Dunerette (La),",ruisseau,département de la Haute-Loire,non,"
ruisseau. Prend sa source à 
Font-Dunière
 dans la commune de Saint-Régis-du-Coin qu'elle traverse, passe dans le département de la Haute-Loire où, grossie du Riotord, elle prend le nom de Dunière.",
DT42-04217,"Écoutay,",ruisseau,département de la Haute-Loire,non,"
ruisseau. Coule dans la commune de Marlhes, Écotayprès du village d’, et passe dans le 299
département de la Haute-Loire où il se jette dans la Semène.",
DT42-03155,"Coise (La),",rivière,département de la Loire,non,"
rivière. Prend sa source dans le département du Rhône, dans la commune de Sainte-Catherine-sous-Riverie, traverse le canton de Saint-Symphorien-sur-Coise, passe dans le département de la Loire où elle coule dans les cantons de Chazelles-sur-Lyon et de Saint-Galmier, et se jette dans la Loire à Montrond-les-Bains.",
DT42-04927,"Forez (Le),",ancienne province,département de la Loire,non,"
ancienne province dont le territoire est aujourd'hui compris, sauf quelques fractions, dans le département de la Loire.",
DT42-06805,"Loire (La),",fleuve,département de la Loire,non,"
fleuve. Prend sa source au Mont Gerbier-de-Jonc (Ardèche), traverse le département de la Loire sur toute sa longueur (100 kilomètres) et va se jeter dans l'Océan Atlantique à Nantes après un cours de 980 kilomètres.",
DT42-10218,"Rhins (Le),",rivière,département de la Loire,non,"
rivière. Prend sa source dans le département du Rhône. Traverse dans le département de la Loire les cantons de Saint-Symphorien-de-Lay et de Perreux. Affluent de la Loire.",
DT42-10894,"Saint-Étienne,",préfecture,département de la Loire,non,"
préfecture du département de la Loire.",
DT42-11422,"Sornin (Le),",rivière,département de la Loire,non,"
rivière. Prend sa source dans le département du Rhône et traverse dans le département de la Loire le canton de Charlieu. Affluent de la Loire au nord de Pouilly-sous-Charlieu.",
DT42-04222,Écotteries (Ruisseau des).,petit cours d'eau,département de Saône-et-Loire,non,"Ce petit cours d'eau qui vient du département de Saône-et-Loire, est affluent du Sornin, commune de Charlieu.",
DT42-00108,"Ance (L'),",rivière,département du Puy-de-Dôme,non,"
rivière. Borde à l'ouest le canton de Saint-Bonnet-le-Château qu'elle sépare du département du Puy-de-Dôme.",
DT42-01265,Bonel (Ruisseau de).,,département du Puy-de-Dôme,non,"Vient du département du Puy-de-Dôme. Affluent de l'Andrable, commune de Montarcher.",
DT42-00155,"Arbuel (L'),",ruisseau,département du Rhône,non,"
ruisseau. A la limite de la commune de La Chapelle-en-Pélussin et du département du Rhône.",
DT42-01586,"Brevenne (La),",rivière,département du Rhône,non,"
rivière. Prend sa source dans la commune de Maringes qu'elle sépare ensuite de celle de Viricelles avant de passer dans le département du Rhône où elle se jette dans l'Azergue.",
DT42-03155,"Coise (La),",rivière,département du Rhône,non,"
rivière. Prend sa source dans le département du Rhône, dans la commune de Sainte-Catherine-sous-Riverie, traverse le canton de Saint-Symphorien-sur-Coise, passe dans le département de la Loire où elle coule dans les cantons de Chazelles-sur-Lyon et de Saint-Galmier, et se jette dans la Loire à Montrond-les-Bains.",
DT42-05429,"Gier (Le),",rivière,département du Rhône,non,"
rivière. Prend sa source dans la commune de La-Valla-en-Gier. Traverse ensuite les cantons de Saint-Chamond et de Rive-de-Gier et passe dans le département du Rhône où il se jette dans le Rhône près de Givors.",
DT42-06809,"Loize,",rivière,département du Rhône,non,"
rivière. Prend sa source dans le département du Rhône, traverse, dans celui de la Loire, les communes d'Essertines-en-Donzy et de Jas. Affluent de la Loire à la limite des communes de Feurs et de Civens.",
DT42-10218,"Rhins (Le),",rivière,département du Rhône,non,"
rivière. Prend sa source dans le département du Rhône. Traverse dans le département de la Loire les cantons de Saint-Symphorien-de-Lay et de Perreux. Affluent de la Loire.",
DT42-10800,Doyse.,,département du Rhône,non,"Prend sa source dans le département du Rhône, traverse la commune de Saint-Martin-Lestra et sert de limite aux communes de Jas et de Saint-Barthélemy-Lestra. Affluent de la Loise en amont et près de Salt-en-Donzy.",
DT42-11422,"Sornin (Le),",rivière,département du Rhône,non,"
rivière. Prend sa source dans le département du Rhône et traverse dans le département de la Loire le canton de Charlieu. Affluent de la Loire au nord de Pouilly-sous-Charlieu.",
DT42-11667,"Thoranche (La),",rivière,département du Rhône,non,"
rivière. Prend sa source dans le département du Rhône. Traverse dans celui de la Loire la commune de Virigneux et le canton de Feurs. Affluent de la Loire en aval de Saint-Laurent-la-Conche.",
DT42-11668,"Thorenchin (Le),",ruisseau,département du Rhône,non,"
ruisseau. Prend sa source dans la commune de Violay et poursuit son cours dans le département du Rhône.",
DT42-11757,"Trambouze (La),",ruisseau,département du Rhône,non,"
ruisseau. Prend sa source dans le département du Rhône, et dans celui de la Loire, sert de limite aux communes de Combre et de Saint-Victor-sur-Rhins. Affluent du Rhins.",
DT42-11944,"Turdine (La),",rivière,département du Rhône,non,"
rivière. Prend sa source dans la commune de Saint-Cyr-de-Valorges et continue son cours dans le département du Rhône.",
DT42-10222,"Rhône (Le),",fleuve,départements de la Loire et du Rhône,non,"
fleuve. Sert de limite aux départements de la Loire et du Rhône dans le canton de Pélussin où il borde, à l'est, les communes de Vérin, Saint-Michel, Chavanay, Malleval et Saint-Pierre-de-Bœuf.",
DT42-03449,"Cotayet (Le),",ruisseau,Écotay,42087,"
ruisseau. Prend sa source dans la commune de Lérigneux, passe à Écotay, traverse le canton de Montbrison et se joint au Vizézy, commune de Mornant, sous le nom de ruisseau de Moingt.",
DT42-00227,"Aubègue,","goutte, ruisseau",en amont de l'Hôpital-sous-Rochefort,42109,"
goutte, ruisseau. Source dans la commune de Saint-Martin-la-Sauveté, affluent de l'Auzon en amont de l'Hôpital-sous-Rochefort.",
DT42-00167,"Arcs (Les),",ruisseau,en amont de La Grand-Croix,42103,"
ruisseau. Au nord de la commune de Saint-Julien-en-Jarez, sert de limite aux cantons de Saint-Chamond et de Rive-de-Gier. Affluent du Gier en amont de La Grand-Croix.",
DT42-06279,"Izable (L'),",rivière,en amont de Pommiers,42173,"
rivière. Prend sa source commune de Chérier et sert de limite aux communes de Bully et de Cremeaux. Traverse les communes de Souternon, Amions, Saint-Germain-Laval. Affluent de l'Aix en amont de Pommiers.",
DT42-06350,"Jarnossin (Le),",rivière,en amont de Pouilly-sous-Charlieu,42177,"
rivière. Prend sa source sur la commune de Cuinzier. Traverse les communes de Jarnosse, Boyer, Nandax. Affluent de la Loire, en amont de Pouilly-sous-Charlieu.",
DT42-01008,Boën (Ruisseau de).,rivière,"en amont de Saint-Just-en-Chevalet
",42248,"Nom de la rivière d'Aix en amont de Saint-Just-en-Chevalet
.",
DT42-03447,"Cotatay (Le),",ruisseau,en amont du Chambon-Feugerolles,42044,"
ruisseau. Prend sa source dans la commune de Saint-Romain-les-Atheux. Affluent de l'Ondaine en amont du Chambon-Feugerolles où il borde le village de Cotatay.",
DT42-03591,"Couzon (Le),",ruisseau,en aval de Saint-Denis-sur-Coise,non,"
ruisseau. Prend sa source dans la commune de Marcenod, sépare les communes de Grammond et de Saint-Denis-sur-Coise de celle de Chatelus. Affluent de la Coise en aval de Saint-Denis-sur-Coise.",
DT42-11667,"Thoranche (La),",rivière,en aval de Saint-Laurent-la-Conche,42251,"
rivière. Prend sa source dans le département du Rhône. Traverse dans celui de la Loire la commune de Virigneux et le canton de Feurs. Affluent de la Loire en aval de Saint-Laurent-la-Conche.",
DT42-06760,"Lizeron (Le),",ruisseau,en aval de Saint-Victor-sur-Loire,42218,"
ruisseau. Prend sa source dans la commune de Saint-Genest-Lerpt, traverse celle de Roche-la-Moliere et se jette dans la Loire en aval de Saint-Victor-sur-Loire.",
DT42-02454,"Charpasonne (La),",ruisseau,en aval de Salt-en-Donzy,42296,"
ruisseau. Sert de limite aux communes de Cottance et de Panissières, traverse celle de Salvizinet, et se jette dans la Loise en aval de Salt-en-Donzy.",
DT42-00257,"Ozon, Onzon,",ruisseau,en aval de Sury-le-Comtal,42304,"
ruisseau. Source dans la commune de Boisset-Saint-Priest, traverse la commune de Saint-Marcellin, tombe dans la Mare en aval de Sury-le-Comtal.",
DT42-00602,Beaune (La).,ruisseau,entre Arthun et Gouttebelin,42009/,"Nom d'un territoire, d'un bois et d'un ruisseau, affluent de l'Argent, coulant entre Arthun et Gouttebelin.",
DT42-08681,"Paradis,",lieu détruit,entre Avaize et Saint-Paul-en-Jarez,non,"
lieu détruit, commune de La Terrasse-sur-Dorlay, entre Avaize et Saint-Paul-en-Jarez.",
DT42-07124,"Marais (Le),",écart,entre Bigny et La Petite-Motte,non,"
écart, commune de Feurs, entre Bigny et La Petite-Motte.",
DT42-06991,"Maladière (La),",lieu détruit,entre Boën et Mollian,non,"
commune de Boën, entre Boën et Mollian.",
