Article,Vedette,Type vedette,Candidat,INSEE,Définition,Commentaire
DT10-00055,"Armance (L'),",affluent,Ervy,10140,"
affluent de la rive droite de l'Armançon ; il prend sa source à Chaource, passe au Pâtis, à Pont-au-Loup, près de Metz-Robert, à Pontblain, près de la Loge-Pontblain, aux Bordes-d'Avreuil, aux Teignes, à la Forêt, à Ervy, entre dans le département de l'Yonne et va se jeter dans l'Armançon à Saint-Florentin.",
DT10-00055,"Armance (L'),",affluent,Forêt,non,"
affluent de la rive droite de l'Armançon ; il prend sa source à Chaource, passe au Pâtis, à Pont-au-Loup, près de Metz-Robert, à Pontblain, près de la Loge-Pontblain, aux Bordes-d'Avreuil, aux Teignes, à la Forêt, à Ervy, entre dans le département de l'Yonne et va se jeter dans l'Armançon à Saint-Florentin.",
DT10-00055,"Armance (L'),",affluent,Pâtis,non,"
affluent de la rive droite de l'Armançon ; il prend sa source à Chaource, passe au Pâtis, à Pont-au-Loup, près de Metz-Robert, à Pontblain, près de la Loge-Pontblain, aux Bordes-d'Avreuil, aux Teignes, à la Forêt, à Ervy, entre dans le département de l'Yonne et va se jeter dans l'Armançon à Saint-Florentin.",
DT10-00055,"Armance (L'),",affluent,Pont-au-Loup,10202,"
affluent de la rive droite de l'Armançon ; il prend sa source à Chaource, passe au Pâtis, à Pont-au-Loup, près de Metz-Robert, à Pontblain, près de la Loge-Pontblain, aux Bordes-d'Avreuil, aux Teignes, à la Forêt, à Ervy, entre dans le département de l'Yonne et va se jeter dans l'Armançon à Saint-Florentin.",
DT10-00055,"Armance (L'),",affluent,Pontblain,10201,"
affluent de la rive droite de l'Armançon ; il prend sa source à Chaource, passe au Pâtis, à Pont-au-Loup, près de Metz-Robert, à Pontblain, près de la Loge-Pontblain, aux Bordes-d'Avreuil, aux Teignes, à la Forêt, à Ervy, entre dans le département de l'Yonne et va se jeter dans l'Armançon à Saint-Florentin.",
DT10-00055,"Armance (L'),",affluent,Saint-Florentin,89345,"
affluent de la rive droite de l'Armançon ; il prend sa source à Chaource, passe au Pâtis, à Pont-au-Loup, près de Metz-Robert, à Pontblain, près de la Loge-Pontblain, aux Bordes-d'Avreuil, aux Teignes, à la Forêt, à Ervy, entre dans le département de l'Yonne et va se jeter dans l'Armançon à Saint-Florentin.",
DT10-00055,"Armance (L'),",affluent,Teignes,10024,"
affluent de la rive droite de l'Armançon ; il prend sa source à Chaource, passe au Pâtis, à Pont-au-Loup, près de Metz-Robert, à Pontblain, près de la Loge-Pontblain, aux Bordes-d'Avreuil, aux Teignes, à la Forêt, à Ervy, entre dans le département de l'Yonne et va se jeter dans l'Armançon à Saint-Florentin.",
DT10-00057,"Armançon (L'),",affluent,"
Pouilly
",21501,"
affluent de la rive droite de l'Yonne ; il prend sa source à 
Pouilly
 (Côte-d'Or), coule sur le territoire de Marolles-sous-Lignières et se jette dans l'Yonne près de Joigny.",
DT10-00065,"Artot,",affluent, Viviers à Landreville,10439/10187,"
affluent de la rive droite de l'Ource,  de  Viviers à Landreville.",
DT10-00070,"Ateliers antiques de poteries,",,"Montpotier, Vendeuvre et Villy-en-Trode",10254/10401/10433,"découverts à Montpotier, Vendeuvre et Villy-en-Trode, avec les fours renfermant des produits fabriqués ou de nombreux débris d'objets céramiques.",
DT10-00072,"Aube (L'),",rivière,"
Auberive
",52023,"
rivière, affluent de la rive droite de la Seine ; elle prend sa source à 
Auberive
 (Haute-Marne), arrive dans le département par Ville-sous-la-Ferte et se jette dans la Seine à Marcilly-sur-Seine (Marne) ; flottable à partir de Brienne-la-Vieille, navigable à Arcis.",
DT10-00072,"Aube (L'),",rivière,Arcis,10006,"
rivière, affluent de la rive droite de la Seine ; elle prend sa source à 
Auberive
 (Haute-Marne), arrive dans le département par Ville-sous-la-Ferte et se jette dans la Seine à Marcilly-sur-Seine (Marne) ; flottable à partir de Brienne-la-Vieille, navigable à Arcis.",
DT10-00072,"Aube (L'),",rivière,Marcilly-sur-Seine,51343,"
rivière, affluent de la rive droite de la Seine ; elle prend sa source à 
Auberive
 (Haute-Marne), arrive dans le département par Ville-sous-la-Ferte et se jette dans la Seine à Marcilly-sur-Seine (Marne) ; flottable à partir de Brienne-la-Vieille, navigable à Arcis.",
DT10-00078,"Auge (L'),",affluent, Sézanne (Marne) à Boulages,51535/10052,"
affluent de la rive droite de l'Aube,  de  Sézanne (Marne) à Boulages ; dérivation de la rive gauche du Grand-Morin, créée dans l'intérêt de la ville de Sézanne par les comtes de Champagne.",
DT10-00079,"Aujon (L'),",affluent,non loin de la Ferme-d'en-Haut,non,"
affluent de la rive droite de l'Aube ; il prend sa source au territoire de Perrogney (Haute-Marne), arrose dans l'Aube Longchamp et se jette non loin de la Ferme-d'en-Haut (commune de Longchamp) dans la rivière d'Aube.",
DT10-00083,"Aune,",affluent, Fontaine-Mâcon à Nogent-sur-Seine,10153/10268,"
affluent de la rive gauche de la Seine,  de  Fontaine-Mâcon à Nogent-sur-Seine.",
DT10-00091,"Auxon (L'),",affluent,Auxon à Ervy,10018/10140,"
affluent de la rive droite de l'Armance, d'Auxon à Ervy.",
DT10-00094,"Auzon (L'),",affluent,étang de l'Auzon,non,"
affluent de la rive gauche de l'Aube ; il prend sa source dans l'étang de l'Auzon, territoire de Piney, passe à Villevoque, à Auzon, à Pougy, à Coclois, au Petit-Nogent, et se jette dans l'Aube au-dessous de ce hameau.",
DT10-00094,"Auzon (L'),",affluent,Petit-Nogent,10267,"
affluent de la rive gauche de l'Aube ; il prend sa source dans l'étang de l'Auzon, territoire de Piney, passe à Villevoque, à Auzon, à Pougy, à Coclois, au Petit-Nogent, et se jette dans l'Aube au-dessous de ce hameau.",
DT10-00094,"Auzon (L'),",affluent,Villevoque,10287,"
affluent de la rive gauche de l'Aube ; il prend sa source dans l'étang de l'Auzon, territoire de Piney, passe à Villevoque, à Auzon, à Pougy, à Coclois, au Petit-Nogent, et se jette dans l'Aube au-dessous de ce hameau.",
DT10-00097,"Avant (L'),",affluent,Avant-lez-Marcilly à Soligny-les-Étangs,10020/10370,"
affluent de la rive droite de l'Orvin, d'Avant-lez-Marcilly à Soligny-les-Étangs.",
DT10-00104,"Avon (L'),",affluent,Avon-la-Pèze à Saint-Pierre-de-Bossenay,10023/10351,"
affluent de la rive gauche de l'Ardusson, d'Avon-la-Pèze à Saint-Pierre-de-Bossenay.",
DT10-00109,"Bac,",,"
Sainte-Thuise
",non,"à 
Sainte-Thuise
, commune de Dommartin, sur l'Aube.",
DT10-00139,"Barberey-Saint-Sulpice,",,2,non,"
2e canton de Troyes.",Problème
DT10-00142,"Barbuise (La),",affluent, Fontaine-Luyères à l'Abbaye-sous-Plancy,10084/10289,"
affluent de la rive gauche de l'Aube,  de  Fontaine-Luyères à l'Abbaye-sous-Plancy.",
DT10-00144,"Barbuise (La mairie royale de la),",une des onze mairies royales,"Arcis-sur-Aube, Aubeterre, Charmont, le Chêne, le Martroy, Mesnil-la-Comtesse, Montsuzain, Nozay, Saint-Étienne, Saint-Martin, Saint-Remy, Torcy-le-Grand, Torcy-le-Petit, les Vasseux, Villette et Voué",non,"l'une des onze mairies royales créées vers la fin du xiii
e siècle dans l'étendue de la prévôté de Troyes et comprenant : Arcis-sur-Aube, Aubeterre, Charmont, le Chêne, le Martroy, Mesnil-la-Comtesse, Montsuzain, Nozay, Saint-Étienne, Saint-Martin, Saint-Remy, Torcy-le-Grand, Torcy-le-Petit, les Vasseux, Villette et Voué.",
DT10-00157,"Barrois (Le),",région naturelle ou ,Haute-Marne et la Meuse,non,"
région naturelle ou pagus
 comprenant la contrée montagneuse et jurassique du département de l'Aube et s'étendant dans la Haute-Marne et la Meuse.",
DT10-00159,"Barse (La),",affluent, Vendeuvre à Saint-Parres-aux-Tertres,10401/10357,"
affluent de la rive droite de la Seine,  de  Vendeuvre à Saint-Parres-aux-Tertres.",
DT10-00163,"Bassange (Voie),",,"
Vaudemanche
",10129,"non loin de 
Vaudemanche
.",
DT10-00175,"Bâtarde (La),",bras,au-dessous de Fouchy,non,"
bras de la Seine sortant du déversoir de Saint-Julien
, passe à la Moline, à Foicy, à Troyes, au Pont-Hubert, rejoint la dérivation de la Seine au-dessous de Fouchy.",
DT10-00175,"Bâtarde (La),",bras,"déversoir de Saint-Julien
",non,"
bras de la Seine sortant du déversoir de Saint-Julien
, passe à la Moline, à Foicy, à Troyes, au Pont-Hubert, rejoint la dérivation de la Seine au-dessous de Fouchy.",
DT10-00175,"Bâtarde (La),",bras,Foicy,non,"
bras de la Seine sortant du déversoir de Saint-Julien
, passe à la Moline, à Foicy, à Troyes, au Pont-Hubert, rejoint la dérivation de la Seine au-dessous de Fouchy.",
DT10-00175,"Bâtarde (La),",bras,Moline,10387,"
bras de la Seine sortant du déversoir de Saint-Julien
, passe à la Moline, à Foicy, à Troyes, au Pont-Hubert, rejoint la dérivation de la Seine au-dessous de Fouchy.",
DT10-00175,"Bâtarde (La),",bras,Pont-Hubert,10297,"
bras de la Seine sortant du déversoir de Saint-Julien
, passe à la Moline, à Foicy, à Troyes, au Pont-Hubert, rejoint la dérivation de la Seine au-dessous de Fouchy.",
DT10-00179,"Baudronne (La),",affluent, Thieffrain à Montreuil,10376/10255,"
affluent de la rive gauche de la Barse,  de  Thieffrain à Montreuil.",
DT10-00185,"Beau (Le),",affluent, Lignières à Marolles-sous-Lignières,10196/10227,"
affluent de la rive droite de l'Armançon,  de  Lignières à Marolles-sous-Lignières.",
DT10-00231,"Bécon (Le),",affluent,Noës à la Chapelle-Saint-Luc,10265/10081,"
affluent de la rive gauche de la Seine, des Noës à la Chapelle-Saint-Luc.",
DT10-00232,"Bedan,",ruisseau,départements de l'Aube et de la Côte-d'Or,non,"
ruisseau, affluent de la rive droite de l'Ource ; limite dans une partie de son cours les départements de l'Aube et de la Côte-d'Or.",
DT10-00253,"Belle-Notre-Dame (La),",chapelle,O. d'Arcis-sur-Aube,10006,"
chapelle à l'O. d'Arcis-sur-Aube, dép. de la commanderie de Malte de Troyes ; aujourd'hui détruite.",
DT10-00303,"Beton (Bois de),",,territoires de Prugny et de Torvilliers,10307/10381,"
territoires de Prugny et de Torvilliers ; aujourd'hui défriché.",
DT10-00312,"Bizerne (Fontaine),",,"
Vendeuvre
",10401,"dans 
Vendeuvre
, l'une des sources de la Barse.",
DT10-00321,"Fontaine-Blaise,",affluent, Villechétif au Pont-Hubert,10412/,"
affluent de la rive droite de la Seine,  de  Villechétif au Pont-Hubert.",
DT10-00326,"Blin (La Tour de),",éminence artificielle,"midi de Marigny-le-Châtel
",10224,"
éminence artificielle au midi de Marigny-le-Châtel
.",
DT10-00343,"Bois de la Commanderie (Le),",forêt,"bois de Bagneux
",10025,"
forêt unie au bois de Bagneux
.",
DT10-00348,"Bois-du-Champ (Le),",ferme,faubourg de la Belle-Dame,non,"
ferme, commune de Nogent-sur-Seine, enclavée aujourd'hui dans le faubourg de la Belle-Dame.",
DT10-00385,Borne-limite,,entre les territoires de Neuville-sur-Seine et de Buxeuil,10262/10068,"entre l'intendance de Champagne et celle de Dijon, entre les territoires de Neuville-sur-Seine et de Buxeuil, sur la route nationale n° 71, de Paris à Dijon.",
DT10-00386,Borne-limite,,entre les territoires de Bourguignons et de Bar-sur-Seine,10055/10034,"entre l'intendance de Champagne et celle de Dijon, entre les territoires de Bourguignons et de Bar-sur-Seine, sur la route nationale n° 71, de Paris à Dijon.",
DT10-00419,"Bourbonne (La),",affluent, Vernonvilliers à Crespy,10403/10117,"
affluent de la rive gauche de la Brevonne ;  de  Vernonvilliers à Crespy.",
DT10-00439,"Boutois (Le),",affluent,Villeneuve-au-Chemin à Soumaintrain,10422/89402,"
affluent de la rive droite de l'Armance, de Villeneuve-au-Chemin à Soumaintrain ; dit aussi ruisseau de Courtaoult.
",
DT10-00459,"Bresse (La),",affluent,Colombé-la-Fosse à Ailleville,10102/10002,"
affluent de la rive droite de l'Aube ; de Colombé-la-Fosse à Ailleville.",
DT10-00472,"Breviandes,",,3,non,"
3e canton de Troyes.",Problème
DT10-00475,"Brevonne (La),",affluent,N.-E. de Rance,10315,"
affluent de la rive gauche de la Voire : c'est l'écoulement de deux étangs situés au S.-E. du Petit-Mesnil ; elle passe près de Chaumesnil, de Notre-Dame-du-Chêne, à Crespy, près de Juzanvigny, de Maizières, de Valentigny, et se jette dans la Voire au N.-E. de Rance.",
DT10-00475,"Brevonne (La),",affluent,S.-E. du Petit-Mesnil,10286,"
affluent de la rive gauche de la Voire : c'est l'écoulement de deux étangs situés au S.-E. du Petit-Mesnil ; elle passe près de Chaumesnil, de Notre-Dame-du-Chêne, à Crespy, près de Juzanvigny, de Maizières, de Valentigny, et se jette dans la Voire au N.-E. de Rance.",
DT10-00484,"Briennois (Le),",petit pays,partie du Vallage,non,"
petit pays faisant partie du Vallage.",
DT10-00486,"Brinnia,",lieu inconnu,Breviandes ou Bray,10060/,"
lieu inconnu, si ce n'est Breviandes ou Bray.",
DT10-00543,"Calvaire (Le),",,"dehors de Nogent-sur-Seine
",10268,"en dehors de Nogent-sur-Seine
.",
DT10-00546,Canal comblé,,canal de navigation de Fouchy,non,"de la sortie de Troyes
, au couchant, jusqu'au canal de navigation de Fouchy, comblé avant 1747.",
DT10-00546,Canal comblé,,"sortie de Troyes
",10387,"de la sortie de Troyes
, au couchant, jusqu'au canal de navigation de Fouchy, comblé avant 1747.",
DT10-00547,"Canal de flottage,",,"au-dessous de Villepart
",non,"suivant la rive droite de la Seine, commençant un peu au-dessous de Villepart
 et allant rejoindre la Vieille-Seine au-dessus de Foicy ; creusé vers 1725.",
DT10-00547,"Canal de flottage,",,au-dessus de Foicy,10357,"suivant la rive droite de la Seine, commençant un peu au-dessous de Villepart
 et allant rejoindre la Vieille-Seine au-dessus de Foicy ; creusé vers 1725.",
DT10-00549,"Canal de navigation,",,moulin de Fouchy à la hauteur de Barberey,/10030," du moulin de Fouchy à la hauteur de Barberey, créé au 
xvii
e siècle.",
DT10-00550,"Capucins (Les),",couvent,"faubourg Croncels de Troyes
",10387,"
couvent fondé au faubourg Croncels de Troyes
 en 1610, supprimé en 1790.",
DT10-00567,"Ceffondez (Le),",affluent, Beurville à Ceffonds,52047/52088,"
affluent de la rive gauche de la Voire ;  de  Beurville à Ceffonds (Marne).",
DT10-00572,"Cerès,",paroisse détruite,entre Bar-sur-Seine et Bourguignons,10034/10055,"
paroisse détruite 
entre Bar-sur-Seine et Bourguignons.",
DT10-00573,"Cérilly (Ru de),",affluent, Cérilly à Flacy,89065/89165,"
affluent de la rive gauche de la Vanne,  de  Cérilly à Flacy (Yonne) ; coulant en partie sur le territoire de Rigny-le-Ferron.",
DT10-00584,"Chailloire (La),",petit ru,"
Saint-Mards
",10350,"
petit ru à 
Saint-Mards
, employé pour le flottage des bois depuis 1640.",
DT10-00588,"Chaillouet (Mairie royale de),",une des 11 mairies royales,"Baire, Belley, Chaillouet, l'Étang-Mercier, la Grève, le Labouras, la Moline, Panais, le Petit-Saint-Jacques, Pont-Barse, le Pré-l'Évêque, Ruvigny, Saint-Parres-aux-Tertres, le Tertre, Thennelières et la Vacherie",non,"l'une des 11 mairies royales créées vers la fin du xiii
e siècle dans l'étendue de la prévôté de Troyes, et comprenant : Baire, Belley, Chaillouet, l'Étang-Mercier, la Grève, le Labouras, la Moline, Panais, le Petit-Saint-Jacques, Pont-Barse, le Pré-l'Évêque, Ruvigny, Saint-Parres-aux-Tertres, le Tertre, Thennelières et la Vacherie.",
DT10-00599,"Chameuse (La),",ruisseau,Vallières à Vanlay,10394/10395,"
ruisseau, affluent de la rive gauche du Landion ; de Vallières à Vanlay.",
DT10-00602,"Champagne (La),",région naturelle,province de France,non,"
région naturelle, duché, comté, puis province de France.",
DT10-00657,"Chapelle (La),",chapelle ruinée,"vallon de Longpré
",10205,"
chapelle ruinée au N. O. et dans le vallon de Longpré
.",
DT10-00660,"Chapelle de la Sainte-Vierge (La),",,"bois de Soulaines
",10372,"dans les bois de Soulaines
 ; aujourd'hui détruite.",
DT10-00665,"Chapelle la Vierge (La),",chapelle,"extrémité occidentale de Piney
",10287,"
chapelle à l'extrémité occidentale de Piney
, aujourd'hui au milieu du cimetière, transféré dans ce lieu il y a environ trente ans.",
DT10-00668,"Chapelle-Saint-Luc (La),",,2,non,"
2e canton de Troyes.",Problème
DT10-00673,"Chapitre (Le),",église collégiale,"dehors de Plancy
",10289,"
église collégiale fondée par les anciens barons de Plancy, en dehors de Plancy
, dans le château, vers le 
xii
e siècle.",
DT10-00692,Charmotte (La.....,,"environs de Rouilly-Saint-Loup
",10329,"
environs de Rouilly-Saint-Loup
 ; lieu aujourd'hui détruit.",
DT10-00723,"Maillet,",fief,"siége de Pont-sur-Seine
",10298,"
fief du siége de Pont-sur-Seine
 ; aujourd'hui détruit.",
DT10-00724,"Châtelet (Le),",château,côte de Sainte-Germaine,non,"
château du moyen âge construit sur le versant nord de la côte de Sainte-Germaine, autrefois sur le territoire de Bar-sur-Aube, aujourd'hui sur celui de Fontaine.",
DT10-00750,"Chemin (Le Haut-),",,Perthes,10285,"
territoire de Brienne-le-Château, conduisant à Perthes et séparant le territoire de Brienne de celui de Saint-Léger.",
DT10-00750,"Chemin (Le Haut-),",,Saint-Léger,10345,"
territoire de Brienne-le-Château, conduisant à Perthes et séparant le territoire de Brienne de celui de Saint-Léger.",
DT10-00751,"Chemin d'Auxerre,",,Laines-aux-Bois à Chevillelle,10186/,"
territoire de Laines-aux-Bois, allant de Laines-aux-Bois à Chevillelle ; limite le territoire de Chevillelle de celui de Laines-aux-Bois (arch. départ. procès-verbal de classif. des chemins).",
DT10-00754,"Chemin de Châlons,",,Donnement à Corbeil,non,"
commune de Balignicourt, de Donnement à Corbeil ; ancienne voie romaine.",
DT10-00756,Chemin de Fin,,Sognes,89396,"de Soligny et de Charmesseaux, conduisant à Sognes (Yonne).",
DT10-00756,Chemin de Fin,,Soligny et de Charmesseaux,10370/10383,"de Soligny et de Charmesseaux, conduisant à Sognes (Yonne).",
DT10-00758,"Chemin de la Reine Blanche,",," Troyes à Rosières, par Saint-André",10387/10325/,"
commune de Saint-André, conduisant  de  Troyes à Rosières, par Saint-André.",
DT10-00762,"Chemin de Pompée,",,Avant à Rigny-la-Noneuse,10020/10318,"
territoires d'Avant-lez-Marcilly et d'Avon-la-Pèze, d'Avant à Rigny-la-Noneuse.",
DT10-00762,"Chemin de Pompée,",,territoires d'Avant-lez-Marcilly et d'Avon-la-Pèze,10020/10023,"
territoires d'Avant-lez-Marcilly et d'Avon-la-Pèze, d'Avant à Rigny-la-Noneuse.",
DT10-00763,Chemin de Pont-sur-Seine :,,la Fosse,10157,il sépare le territoire de Saint-Martin de celui de la Fosse.,
DT10-00764,"de Javon,",,Clérey à Villemoyenne,10100/10419,"
territoire de Clérey, conduisant de Clérey à Villemoyenne (arch. départ. procès-verbal de classif. des chemins).",
DT10-00770,"Chemin des Fées,",ancienne voie romaine,Vitry-le-Croisé à Villars-en-Azois,10438/52525,"
commune de Saint-Usage, ancienne voie romaine pavée en hérisson et allant de Vitry-le-Croisé à Villars-en-Azois.",
DT10-00777,"Chemin des Rittes,",,Arcis-sur-Aube à Fère-Champenoise,10006,"
commune d’Ormes, conduisant d'Arcis-sur-Aube à Fère-Champenoise.",
DT10-00778,"Chemin des Romains,",,ancien chemin d'Essoyes à Fontette,10141/10155,"
ancien chemin d'Essoyes à Fontette.",
DT10-00779,"Chemin des Romains,",,"finage des Granges
",non,"limite le finage des Granges
 de celui de Vanlay.",
DT10-00780,"Chemin des Romains,",,territoires de Gyé-sur-Seine et d'Essoyes,10170/10141,limite les territoires de Gyé-sur-Seine et d'Essoyes.,
DT10-00781,"Chemin des Romains,",,Onjon et de Montangon,10270/10019,sépare le territoire de Piney de ceux d'Onjon et de Montangon ; aujourd'hui abandonné.,
DT10-00791,"Chemin de Troyes,",,territoires d'Aulnay et de Balignicourt,10017/10027,"
territoires d'Aulnay et de Balignicourt ; commence au tertre finéral de Braux, passe près de la Tombelle-d'Aulnay et sépare les finages de Saint-Léger et de Balignicourt de ceux de Pars, de Braux et d'Aulnay.",
DT10-00792,"la Vieille Route,",,territoires de Courceroy et de Gumery,10106/10169,limitant les territoires de Courceroy et de Gumery ; aujourd'hui chemin de servitude pour ces deux communes.,
DT10-00794,"Chemin de Troyes,",,Lassicourt à Rosnay,10189/10326,"
commune de Lassicourt, allant de Lassicourt à Rosnay.",
DT10-00795,"Chemin de Troyes,",,territoires de la Motte-Tilly et de Fontenay-de-Bossery,10259/10154,limitant les territoires de la Motte-Tilly et de Fontenay-de-Bossery.,
DT10-00798,"Chemin d'Orléans,",,Mâcon à Pont-sur-Seine par les territoires de Saint-Aubin et de Longueperthe,71270/10298/10334/,"
commune de Saint-Aubin, se dirigeant de Mâcon à Pont-sur-Seine par les territoires de Saint-Aubin et de Longueperthe ; ancien chemin romain.",
DT10-00805,"Chemin Royal (Le),",,finages de la Villeneuve-au-Chêne et du Mesnil-Saint-Père,10423/10238,"près du ru du Thiélou, à la séparation des finages de la Villeneuve-au-Chêne et du Mesnil-Saint-Père.",
DT10-00829,"Chevaliers (Chemin des),",,"Méry à Troyes par Sainte-Maure, Saint-Benoît, etc.",10233/10387//,"
territoire de Sainte-Maure, sections de Vermoise et de Vannes, parallèle au grand chemin de Méry à Troyes par Sainte-Maure, Saint-Benoît, etc.
",
DT10-00829,"Chevaliers (Chemin des),",,sections de Vermoise et de Vannes,non,"
territoire de Sainte-Maure, sections de Vermoise et de Vannes, parallèle au grand chemin de Méry à Troyes par Sainte-Maure, Saint-Benoît, etc.
",
DT10-00839,"Chicherey,",ferme et moulin,"au-dessous d'Estissac
",10142,"
ferme et moulin, sur la Vanne, au-dessous d'Estissac
 ; aujourd'hui détruit.",
DT10-00851,"Cimetière antique,",,hameau de Renaud,non,"
commune de Fresnoy, au hameau de Renaud 
(Mém. de la Soc. académ. 2e série, t. VII, p. 549).",
DT10-00864,"Cimetière gallo-romain,",,hameau de Bray,non,"
commune des Bordes-d'Isle-Aumont, au hameau de Bray.",
DT10-00868,"Cimetière gallo-romain,",,hameau de Roche,non,"
commune d’Isle-Aumont, au hameau de Roche 
(Mém. de la Soc. acad. 2e série, t. II, p. 14).",
DT10-00877,"Civanne (La),",ruisseau,Montreuil à Montaulin,10255/10245,"
ruisseau, affluent de la rive gauche de la Barse ; de Montreuil à Montaulin.",
DT10-00880,"Clairvaux,",abbaye O.C.,vallée d'Absinthe,non,"
abbaye O.C., fondée par saint Bernard en 1115, dans la vallée d'Absinthe, et supprimée en 1790 ; aujourd'hui maison de détention et hameau, commune de Ville-sous-la-Ferté.",
DT10-00900,"Colemel,",fief,"vers Souleaux
",10360,"
fief, seigneurie d'Isle-Aumont, vers Souleaux
.",
DT10-00909,"Combert (Le),",ruisseau,Vougrey à Lantages,10443/10188,"
ruisseau, affluent de la rive droite de la Marve ; de Vougrey à Lantages.",
DT10-00935,"Cordeliers (Les),",couvent,N. de Bar-sur-Aube,10033,"
couvent au N. de Bar-sur-Aube.",
DT10-00939,"Core (La),",fontaine,"château de Verpillières
",10404,"
fontaine, près du château de Verpillières
.",
DT10-00973,"Coulemel,",ferme,entre Cervet et Breviandes,/10060,"
ferme, entre Cervet et Breviandes ; détruite.",
DT10-00989,"Courcelles (Moulin de),",dép.,"
Bernières
",non,"
dép. de 
Bernières
 ; aujourd'hui détruit.",
DT10-01009,"Coursan,",châtellenie,"
Saint-Florentin
",non,"
châtellenie du ressort de celle de 
Saint-Florentin
.",
DT10-01037,"Creney,",,1,non,"
1er canton de Troyes.",Problème
DT10-01080,"Dame (La),",fontaine,"château de Verpillières
",10404,"
fontaine près du château de Verpillières
.",
DT10-01089,"Darne (Vicus),",,"
Saint-Martin-ès-Vignes
",10387,"dépendant de 
Saint-Martin-ès-Vignes
 en 1255 ; nom conservé dans celui de rue Derne.
",
DT10-01095,"Demoiselle (La),",fontaine,entre Coulanges et Saint-Mesmin,/10353,"
fontaine 
entre Coulanges et Saint-Mesmin.",
DT10-01097,"Der (Le),",ancienne partie de forêt,"territoires de la Villeneuve-au-Chêne, de Briel, de la Loge-aux-Chèvres, de Vendeuvre, d'Amance et de la Ville-au-Bois",10423/10062/10200/10401/10005/10411,"
ancienne partie de forêt, aujourd'hui à l'état de pâtures communales sur les territoires de la Villeneuve-au-Chêne, de Briel, de la Loge-aux-Chèvres, de Vendeuvre, d'Amance et de la Ville-au-Bois.",
DT10-01102,"Forêt du),",grande contrée naturelle,Montier-en-Der,non,"
Pagus Dervensis, 
grande contrée naturelle comprenant les assises inférieures de la formation crétacée composées de sables (grès vert) et d'argiles (gault) ; elle s'étend au moins des bords de la Seine, à la hauteur de Clerey, jusqu'au delà de Montier-en-Der.",
DT10-01107,"Devoye (Bois de),",,"
Ricey-Bas
",10317,"vis-à-vis de 
Ricey-Bas
.",
DT10-01114,"Dieu-de-Pitié (Le),",chapelle,faubourg du Béchereau,10268,"
chapelle hors des murs de Nogent-sur-Seine, dans le faubourg du Béchereau.",
