Article,Vedette,Type vedette,Candidat,INSEE,Définition,Commentaire
DT02-06084,"Vermandois,",petite province,Cambrésis,non,"petite province bornée au nord par le Cambrésis et l’Artois, à l’ouest par le Santerre, au sud par le Noyonnais et la Thiérache, et à l’est par cette dernière province, qui en avait été en partie, au moyen âge, une dépendance.",
DT02-02108,"Fabrique (Ru de la),",petit ruisseau,Chailvet,2661,"petit ruisseau, affluent de l’Ailette à Chailvet.",
DT02-00858,"Brie (La),",petite province,Champagne,non,petite province de la Champagne.,
DT02-05742,"Thiérache,",petite province ou contrée limitée,Champagne,non,"petite province ou contrée limitée au nord par le Cambrésis et le Hainaut, à l’est par la Champagne, au sud par le Laonnois et à l’ouest par le Vermandois.",
DT02-02570,"Gland (Le),",petite rivière,Chapelle-des-Glands,8420,"petite rivière qui prend sa source à la Chapelle-des-Glands, dans le bois de Beaulieu (Ardennes), traverse dans le département de l’Aisne le territoire d’Any-Martin-Rieux, où il prend le nom de rivière des Champs, limite les territoires de Wattigny, Leuze et Martigny, et traverse ceux de Saint-Michel et d’Hirson avant de se jeter dans la rivière d’Oise à Hirson.",
DT02-00952,"Burcourt,",vassal,chapitre de Saint-Quentin,non,"petit fief, commune de Contescourt ; vassal du chapitre de Saint-Quentin.",
DT02-00639,"Bois-Hochet,",petit ruisseau,Charnois,non,petit ruisseau qui prend sa source à la Chapelle-sur-Chezy et se jette dans celui de Lorges à la Charnois (Nogent-l’Artaud).,
DT02-01003,"Camely,",vassal,château de la Fère,non,"fief, commune de Travecy ; vassal de la château de la Fère.",
DT02-01075,"Carrières (Les),",vassal,châtellenie d’Hirson,non,"fief, commune de Luzoir ; vassal de la châtellenie d’Hirson.",
DT02-03532,"Martoy,",vassal,châtellenie de Charly,non,"fief, commune de Charly ; vassal de la châtellenie de Charly.",
DT02-00844,"Breuil,",vassal,châtellenie de la Fère,non,"fief, commune de Travecy ; vassal de la châtellenie de la Fère 
      (baill. de la Fère, B 660).",
DT02-00875,"Broches (Les),",vassal,châtellenie de la Fère,non,"petit fief, commune de Bertaucourt-Épourdon ; vassal de la châtellenie de la Fère.",
DT02-03956,"Motte (La),",fief,châtellenie de la Fère,non,"fief, commune de Travecy ; relevait de la châtellenie de la Fère.",
DT02-00993,"Calvise,",vassal,châtellenie de la Ferté-Milon,non,"fief, commune de Louâtre ; vassal de la châtellenie de la Ferté-Milon.",
DT02-01241,"Fief Jean-Jacques,",vassal,châtellenie de Martigny,non,"fief, commune de Martigny ; vassal de la châtellenie de Martigny.",
DT02-03901,"Mardanson,",fief,châtellenie de Martigny,non,"fief, commune de Leuze ; relevait de la châtellenie de Martigny.",
DT02-00770,"Boury,",vassal,châtellenie de Montchâlons,non,"fief, commune de Bièvres ; vassal de la châtellenie de Montchâlons.",
DT02-00366,"Bazoches,",vassal,châtellenie de Pierrefonds,non,"fief, près de Septmonts ; vassal de la châtellenie de Pierrefonds.",
DT02-01268,"Chapelle-Mentard (La),",vassal,châtellenie de Pierrefonds,non,"fief, commune de Montgobert ; vassal de la châtellenie de Pierrefonds.",
DT02-01801,"Saint-André,",faubourg,châtellenie de Pierrefonds,non,faubourg de Soissons qui dépendait autrefois de la châtellenie de Pierrefonds.,
DT02-00841,"Bretonne,",vassal,châtellenie de Pierrepont,non,"petit fief, commune de Chaourse ; vassal de la châtellenie de Pierrepont.",
DT02-03965,"Motte-de-Missy (La),",fief,châtellenie de Pierrepont,non,"fief, commune de Missy-lez-Pierrepont ; relevait de la châtellenie de Pierrepont.",
DT02-00983,"Calais,",vassal,châtellenie de Saint-Quentin,non,"fief, commune de Lesdins ; vassal de la châtellenie de Saint-Quentin.",
DT02-04778,"Pont-des-Grès (Le),",petit hameau,Chauffour,non,"petit hameau, commune de Laversine, entre Laversine et le Chauffour.",
DT02-02723,"la Grange-Oison,",fief,commune ,02580,"fief, commune 130d’Oulchy-le-Château.",Pb balisage
DT02-01401,"Chemin des Rois,",chemin,comté d’Anizy,non,"chemin entre Penancourt et Bordet, qui séparait le comté d’Anizy du duché de Laonnois.",
DT02-03928,"Motte (La),",fief,comté d’Anizy,non,"fief, commune d’Achery ; il relevait du comté d’Anizy et de la seigneurie de Pierremande.",
DT02-03961,"Motte (La),",fief,comté d’Anizy,non,"fief, commune de Wissignicourt ; relevait du comté d’Anizy.",
DT02-00022,"Acre,",vassal,comté de Braine,non,"fief, commune de Braine ; vassal du comté de Braine.",
DT02-00718,"Bouche-à-Vesle,",vassal,comté de Braine,non,"fief, commune de Ciry-Salsogne, à l’embouchure de la Vesle dans l’Aisne ; vassal du comté de Braine.",
DT02-01019,"Canny,",vassal,comté de Braine,non,"fief, commune de Mont-Notre-Dame ; vassal du comté de Braine.",
DT02-01296,"Chassins (Les),",vassal,comté de Braine,non,"petit fief, commune de Lesges ; vassal du comté de Braine.",
DT02-03708,"Montagne (La),",fief,comté de Braine,non,"fief, commune de Margival ; relevait du comté de Braine.",
DT02-00476,"Belot,",vassal,comté de Ribemont,non,"fief, commune de Renansart ; vassal du comté de Ribemont.",
DT02-00748,"Bourdon,","fief, vassal",comté de Ribemont,non,"fief, vassal du comté de Ribemont.",
DT02-04373,"Oise,",affluent,Conflans-Sainte-Honorine,78172,affluent de la Seine à Conflans-Sainte-Honorine.,
DT02-01342,"Château-Julien (Le),",lieu-dit,côté de Versigny,02788,"lieu-dit, couvert de ruines dans le bois de Monceau-lez-Leups, du côté de Versigny.",
DT02-06190,"Villers,",village détruit,Couvron,02231,"village détruit, entre Crepy et Couvron, près de la station du chemin de fer de Reims à Tergnier.",
DT02-00045,"Allan (Ru d’),",ruisseau,département de l’Aisne,non,"ruisseau qui prend sa source à Sommelans et alimente trois moulins à blé dans le département de l’Aisne, où son parcours est de 16,528 mètres.",
DT02-00212,"Automne (L’),",rivière,département de l’Aisne,non,"rivière qui a sa source entre Coyolles et Pisseleux et vase jeter dans la rivière d’Oise à Verberie (Oise) ; elle alimente le moulin de Coyolles et n’a dans le département de l’Aisne qu’un parcours de 6,970 mètres.",
DT02-02570,"Gland (Le),",petite rivière,département de l’Aisne,non,"petite rivière qui prend sa source à la Chapelle-des-Glands, dans le bois de Beaulieu (Ardennes), traverse dans le département de l’Aisne le territoire d’Any-Martin-Rieux, où il prend le nom de rivière des Champs, limite les territoires de Wattigny, Leuze et Martigny, et traverse ceux de Saint-Michel et d’Hirson avant de se jeter dans la rivière d’Oise à Hirson.",
DT02-02971,"Moranvé,",ruisseau,département de l’Aisne,non,"ruisseau qui prend sa source à Moranvé (Ardennes), traverse, dans le département de l’Aisne, les communes de Berlize, Noircourt, Montloué, Lislet, Montcornet, et alimente les moulins à blé de Berlize, Noircourt, Montloue, Montcornet, ainsi que la filature de Lislet, avant de se jeter dans la Serre, à l’extrémité du territoire de Montcornet.",
DT02-03025,"Hozier (Ru d’),",ruisseau,département de l’Aisne,non,"ruisseau qui prend sa source à Bagneux et à Audignicourt, traverse les territoires d’Épagny et de Vézaponin, alimente dans le département de l’Aisne sept moulins à blé et deux féculeries et se jette dans l’Aisne à Vic-sur-Aisne.",
DT02-03131,"Laon,",chef-lieu,département de l’Aisne,non,chef-lieu du département de l’Aisne.,
DT02-03875,"Montreuil,",dépôt de mendicité,département de l’Aisne,non,"dépôt de mendicité du département de l’Aisne, commune de Laon.",
DT02-04555,"Petite-Helpe (La),",petite rivière,département de l’Aisne,non,"petite rivière qui sépare les territoires de Rocquigny et d’Étrœungt, alimente le moulin de Rocquigny et afflue à la Sambre à Landrecies après un cours, dans le département de l’Aisne, de 4 kilomètres.",
DT02-05021,"Retourne,",rivière,département de l’Aisne,non,"rivière qui afflue dans l’Aisne près de Neufchâtel et qui n’a, dans le département de l’Aisne, qu’un parcours de 1,200 mètres ; elle alimente le moulin de Neufchâtel.",
DT02-05990,"Vendy (Ru de),",rivière,département de l’Aisne,non,"rivière qui traverse les territoires de Retheuil, de Taillefontaine et de Mortefontaine, n’alimente dans le département de l’Aisne, où son parcours est de 6,182 mètres, qu’un moulin à blé, et va se jeter dans la rivière d’Aisne en aval d’Attichy.",
DT02-06104,"Vesle,",rivière,département de l’Aisne,non,"rivière qui afflue à l’Aisne à Conde-sur-Aisne, à l’extrémité du territoire de Ciry-Salsogne, après avoir séparé les territoires de Braine, Limé, Courcelles, Augy, Bazoches, Fismes, Villesavoye, Saint-Thibaut, Mont-Notre-Dame, Paars, Chassemy et Vasseny ; elle fait mouvoir six moulins à blé dans le département de l’Aisne, où son parcours est de 30,752 mètres.",
DT02-05600,"Sémoigne (La),",ruisseau,département de la Marne,non,ruisseau qui prend sa source dans le département de la Marne.,
DT02-06135,"Vieux-Prés (Ruisseau des),",,département de la Marne,non,"qui prend sa source dans le département de la Marne, passe à la Chapelle-Monthodon, à Saint-Agnan et à Celles-lez-Conde, et afflue au Surmelin après un cours de 6,780 mètres.",
DT02-00109,"Arbre-de-Guise,",hameau,département du Nord,non,"hameau, commune de Saint-Martin-Rivière et du département du Nord.",
DT02-02046,"Escaut,",rivière,département du Nord,non,"rivière qui prend sa source au Mont-Saint-Martin, commune de Gouy, passe à Gouy et au Catelet, alimente le canal de Saint-Quentin, baigne Vendhuile, puis entre dans le département du Nord à l’extrémité du territoire de cette dernière commune.",
DT02-05595,"Selle (La),",rivière,département du Nord,non,rivière qui prend sa source à Molain et passe à Saint-Martin-Riviere pour entrer ensuite dans le département du Nord.,
DT02-05064,"Rivière (La),",archidiaconé,diocèse de Soissons,non,"archidiaconé du diocèse de Soissons comprenant les doyennés ruraux de Béthizy, Blerancourt, Coyolles et Vic-sur-Aisne.",
DT02-05981,"Valois,",petite province,"diocèses de Soissons, de Meaux et de Senlis",non,"petite province dont on ne connaît pas exactement l’étendue dans les diocèses de Soissons, de Meaux et de Senlis.",
DT02-00082,"Ange (L’),",vassal,Dormans,non,"fief, commune de la Chapelle-Monthodon ; vassal de Dormans.",
DT02-00683,"Bonnefoy,",vassal,Dormans,non,"fief, commune de la Chapelle-Monthodon ; vassal de Dormans.",
DT02-01386,"Chavenay,",vassal,Dormans,non,"fief, commune de la Chapelle-Monthodon ; vassal de Dormans.",
DT02-00904,"Brune,",ruisseau,Dubuquoy,non,"ruisseau qui prend sa source à Brunehamel, traverse les territoires de ce bourg et des communes de Dohis, Cuiry-lez-Iviers, Dagny-Lambercy, Nampcelle-la-Cour, Burelles, limite ceux de Gronard, Dagny-Lambercy, Saint-Clement, Rogny, alimente les moulins à blé de Dohis, Cuiry-lez-Iviers, Morgny, Dubuquoy, le moulin Neuf et ceux de Malvaux, Braye, Hary, Burelles, Prisces, Hary et Rogny, et afflue au Vilpion après un parcours de 38,817 mètres.",
DT02-00398,"Beaurepaire,",vassal,duché de Laonnois,non,"fief, commune de Lierval ; vassal du duché de Laonnois.",
DT02-01401,"Chemin des Rois,",chemin,duché de Laonnois,non,"chemin entre Penancourt et Bordet, qui séparait le comté d’Anizy du duché de Laonnois.",
DT02-05990,"Vendy (Ru de),",rivière,en aval d’Attichy,60025,"rivière qui traverse les territoires de Retheuil, de Taillefontaine et de Mortefontaine, n’alimente dans le département de l’Aisne, où son parcours est de 6,182 mètres, qu’un moulin à blé, et va se jeter dans la rivière d’Aisne en aval d’Attichy.",
DT02-04881,"Preux (Ru),",ruisseau,en face d’Acy,02003,"ruisseau qui prend sa source à Serches, alimente quatre moulins à blé dans un parcours de 5,279 mètres et se jette dans l’Aisne en face d’Acy, à l’extrémité des territoires de Venizel et d’Acy, qu’il sépare.",
DT02-04926,"du Chêne-Héry (Ruisseau des),",petit cours d’eau,Erloy,2284,"petit cours d’eau qui prend sa source à Erloy, où il se jette dans la rivière d’Oise.",
DT02-00127,"Ardon (L’),",ruisseau,est de Laon,non,"ruisseau qui prend sa source dans le bois du Sauvoir, à l’est de Laon, traverse les territoires de Laon, de Chivy, d’Étouvelles, de Laval, de Vaucelles-et-Beffecourt, d’Urcel et de Royaucourt-et-Chailvet et afflue dans la rivière d’Ailette à Royaucourt-et-Chailvet, après un parcours de 13,950 mètres.",
DT02-00634,"Bois-Griffard,",vassal,évêché de Laon,non,"fief, commune de Presles-et-Thierny ; vassal de l’évêché de Laon.",
DT02-00998,"Cambrin,",vassal,évêché de Laon,non,"fief, commune de Molinchart ; vassal de l’évêché de Laon.",
DT02-01773,"Craot,",moulin,évêché de Laon,non,moulin appartenant autrefois à l’évêché de Laon ; aujourd’hui détruit.,
DT02-03432,"Manaflucq,",bois,évêché de Laon,non,"bois, près de Craonne, dont la moitié a été donnée en 1112 au prieuré de Roucy (évêché de Laon).",
DT02-03091,"Jozienne (Ru de),",ruisseau,faubourg de Saint-Médard de Soissons,02722,ruisseau qui doit son nom à un moulin détruit depuis longtemps et qui était situé au faubourg de Saint-Médard de Soissons.,
DT02-02620,"Goyer-Marais,",petit fief,faubourg de Senicourt,non,"petit fief, commune de Chauny, au faubourg de Senicourt.",
DT02-00673,"Bolocier,",moulin à eau,faubourgs d’Ardon et de Leuilly,non,"moulin à eau, commune de Laon, entre les faubourgs d’Ardon et de Leuilly ; aujourd’hui détruit.",
DT02-05623,"Serre (La),",rivière,Férée,08167,"rivière qui prend sa source à la Férée (Ardennes), traverse les territoires de Sainte-Geneviève et de Rouvroy, sépare ce dernier de celui de Rozoy-sur-Serre, qu’elle traverse, passe à Chery-lez-Rozoy et à Montcornet, limite les territoires de Chaourse et d’Agnicourt-et-Séchelles, passe ensuite à Saint-Pierremont, Erlon, Dercy, Mortiers, Crecy-sur-Serre, Assis-sur-Serre, Pont-a-Bucy, Anguilcourt-le-Sart, et se jette dans l’Oise, à Danizy, après un cours de 104,930 mètres pendant lequel elle alimente vingt moulins à blé, une taillanderie, un moulin à huile et trois filatures.",
DT02-04593,"Petit-Morin (Le),",affluent,Ferté-sous-Jouarre,77183,affluent de la Marne à la Ferté-sous-Jouarre.,
DT02-01271,"Sapigny,",vassal,Ferté-sur-Péron,non,"petit fief, commune de Mesbrecourt-Richecourt ; vassal de la Ferté-sur-Péron.",
DT02-01188,"Chaillevois,",vassal,fief de Monampteuil,non,"petit fief, commune de Chevresis-Monceau ; vassal du fief de Monampteuil.",
DT02-00996,"Cambrésis,",petite province,Flandre,non,petite province de la Flandre.,
DT02-02823,"Hainaut,",petite province,Flandre,non,"petite province de la Flandre à laquelle Fontenelle, Papleux et la partie de territoire comprise sur la rive droite du ruisseau de Barzy appartenaient.",
DT02-03237,"Royot,",petit ruisseau,Folie-Bonjour,non,"petit ruisseau qui prend sa source à la Folie-Bonjour, près de Malaise, et se jette dans le Gland ou rivière des Champs à Any-Martin-Rieux, après un parcours dans le département de l’Aisne de 2,500 mètres.",
DT02-04500,"Pépinière (La),",poste forestier,forêt domaniale de Retz,non,"poste forestier en la forêt domaniale de Retz, commune de Villers-Cotterêts.",
DT02-00149,"Artoise (L’),",rivière,France,non,"rivière prenant sa source dans le bois de Chimay et limitant, sous le nom de Ruisseau des Warnelles, la France et la Belgique.",
DT02-06089,"Veromandui,",ancien peuple,Gaule Belgique,non,ancien peuple de la Gaule Belgique.,
DT02-00095,"Antin,",vassal,Genlis,non,"fief, commune de Villequier-au-Mont ; vassal de Genlis.",
DT02-00271,"Baraille,",vassal,Genlis,non,"fief, commune d’Abbécourt ; vassal de Genlis.",
DT02-03194,"Librette (La),",petit ruisseau,Gergny d’Étréaupont,02342/02295,"petit ruisseau qui prend sa source sur le territoire de Sorbais, sépare Gergny d’Étréaupont et se jette dans l’Oise sur le territoire de cette dernière commune.",
DT02-02607,"Goujons (Les),",ruisseau,haie d’Aubenton,02031,"ruisseau qui prend sa source dans la haie d’Aubenton, entre Mont-Saint-Jean et Iviers, traverse le territoire de Besmont, puis celui de Martigny, où il se jette dans le Ton après avoir alimenté, dans un parcours de 15,110 mètres, le moulin de Risquetout.",
DT02-05742,"Thiérache,",petite province ou contrée limitée,Hainaut,non,"petite province ou contrée limitée au nord par le Cambrésis et le Hainaut, à l’est par la Champagne, au sud par le Laonnois et à l’ouest par le Vermandois.",
DT02-05591,"Ségril,",ruisseau,hameau de Cocréaumont,non,"ruisseau qui prend sa source à l’extrémité des territoires de la Flamangrie et du Nouvion, traverse le territoire d’Esquehéries dans toute sa longueur, sépare sur une grande étendue ceux de Dorengt et de la Neuville-lez-Dorengt jusqu’au hameau de Cocréaumont, traverse la Neuville-lez-Dorengt et va se perdre dans le canal de Sambre-et-Oise à Etreux.",
DT02-05732,"Terva,",emplacement,hameau du Routy,non,emplacement couvert de débris de constructions et de vases romains entre le hameau du Routy et la Herie.,
DT02-03921,"Morte-Sambre,",petit ruisseau,Hermitage,non,petit ruisseau qui prend sa source entre l’Hermitage et Fesmy ; il se jette dans la Sambre à l’extrémité du territoire de Fesmy.,
DT02-00287,"Barival,",vassal,Landifay,non,"fief, commune de Renansart ; vassal de Landifay.",
DT02-04555,"Petite-Helpe (La),",petite rivière,Landrecies,59331,"petite rivière qui sépare les territoires de Rocquigny et d’Étrœungt, alimente le moulin de Rocquigny et afflue à la Sambre à Landrecies après un cours, dans le département de l’Aisne, de 4 kilomètres.",
DT02-05742,"Thiérache,",petite province ou contrée limitée,Laonnois,non,"petite province ou contrée limitée au nord par le Cambrésis et le Hainaut, à l’est par la Champagne, au sud par le Laonnois et à l’ouest par le Vermandois.",
DT02-00253,"Baillot,",petit ruisseau,Lucy,02443,petit ruisseau passant à Lucy.,
DT02-03634,"Miette (La),",ruisseau,maison d’Amifontaine,02013,"ruisseau qui prend sa source à la dernière maison d’Amifontaine, traverse les territoires de Juvincourt-et-Dammarie, de la Ville-aux-Bois-lez-Pontavert et de Pontavert et se joint à l’Aisne dans cette dernière commune, après un cours de 13 kilomètres.",
DT02-00904,"Brune,",ruisseau,Malvaux,non,"ruisseau qui prend sa source à Brunehamel, traverse les territoires de ce bourg et des communes de Dohis, Cuiry-lez-Iviers, Dagny-Lambercy, Nampcelle-la-Cour, Burelles, limite ceux de Gronard, Dagny-Lambercy, Saint-Clement, Rogny, alimente les moulins à blé de Dohis, Cuiry-lez-Iviers, Morgny, Dubuquoy, le moulin Neuf et ceux de Malvaux, Braye, Hary, Burelles, Prisces, Hary et Rogny, et afflue au Vilpion après un parcours de 38,817 mètres.",
DT02-02794,"Gueules (Ru des),",ruisseau,Marcilly,02050,ruisseau qui prend sa source près de la ferme de la Folie et se jette dans la Marne entre Barzy et Marcilly.,
DT02-00883,"Brosses (Les),",vassal,marquisat d’Armentières,non,"fief, commune de Coincy ; vassal du marquisat d’Armentières.",
DT02-00583,"Bocquillart,",vassal,marquisat de Vervins,non,"petit fief, commune de Franqueville ; vassal du marquisat de Vervins.",
DT02-01438,"Chevalet (Le),",vassal,marquisat de Vervins,non,"petit fief, commune de Franqueville ; vassal du marquisat de Vervins.",
DT02-06243,"Vivier-le-Pardeux,",vassal,marquisat de Vervins,non,"fief, commune d’Haution ; vassal du marquisat de Vervins.",
DT02-00581,"Bocquiaulx,",vassal,Maucreux,non,"petit fief, commune de Chaourse ; vassal de Maucreux.",
DT02-01889,"Tilvot,",vassal,Montmirail,non,"fief, commune d’Étampes ; vassal de Montmirail.",
DT02-02971,"Moranvé,",ruisseau,Moranvé,non,"ruisseau qui prend sa source à Moranvé (Ardennes), traverse, dans le département de l’Aisne, les communes de Berlize, Noircourt, Montloué, Lislet, Montcornet, et alimente les moulins à blé de Berlize, Noircourt, Montloue, Montcornet, ainsi que la filature de Lislet, avant de se jeter dans la Serre, à l’extrémité du territoire de Montcornet.",
DT02-00904,"Brune,",ruisseau,Morgny,02526,"ruisseau qui prend sa source à Brunehamel, traverse les territoires de ce bourg et des communes de Dohis, Cuiry-lez-Iviers, Dagny-Lambercy, Nampcelle-la-Cour, Burelles, limite ceux de Gronard, Dagny-Lambercy, Saint-Clement, Rogny, alimente les moulins à blé de Dohis, Cuiry-lez-Iviers, Morgny, Dubuquoy, le moulin Neuf et ceux de Malvaux, Braye, Hary, Burelles, Prisces, Hary et Rogny, et afflue au Vilpion après un parcours de 38,817 mètres.",
DT02-06084,"Vermandois,",petite province,Noyonnais,non,"petite province bornée au nord par le Cambrésis et l’Artois, à l’ouest par le Santerre, au sud par le Noyonnais et la Thiérache, et à l’est par cette dernière province, qui en avait été en partie, au moyen âge, une dépendance.",
DT02-05066,"Rivièrette (La),",bras,Oise,non,bras de l’Oise à la Fere alimentant des moulins à blé et à huile.,
DT02-00085,"Anges (Les),",petit ruisseau,Oulches,02578,"petit ruisseau, affluent de celui de la Vallée-Foulon à Oulches.",
DT02-05046,"Rie,",forêt,Passy,02595,"forêt située entre le Charmel, Barzy, Passy et Treloup.",
DT02-01401,"Chemin des Rois,",chemin,Penancourt,02018,"chemin entre Penancourt et Bordet, qui séparait le comté d’Anizy du duché de Laonnois.",
DT02-03955,"Motte (La),",maison isolée,Pierrefonds,non,"maison isolée, commune de Soissons ; relevait de Pierrefonds.",
DT02-00895,"Brûle (La),",petit ruisseau,Presle,02620,"petit ruisseau, affluent de l’Aisne à Presle.",
