Article,Vedette,Type vedette,Candidat,INSEE,Définition,
DT11-03383,"Conatior,",quartier,ancien faubourg Saint-Vincent,non,"
quartier de l’ancien faubourg Saint-Vincent, au N.-E. de la Cité, commune de Carcassonne.",
DT11-12697,"Saint-Louis (Col de),",col,ancienne route de Quillan,non,"à la limite des départements de l’Aude et des Pyrénées-Orientales, commune de Saint-Louis-de-Parahou ; col donnant passage à l’ancienne route de Quillan à Caudiès.",
DT11-03123,"Claus-de-la-Major (Le),",partie,anciens faubourgs de Narbonne,11262,"
partie des anciens faubourgs de Narbonne, au quartier de Cité.",
DT11-12450,"Saint-Frichoux,",église,annexe d’Aiguesvives,non,"
commune, canton de Peyriac-Minervois ; église paroissiale dédiée à saint Fructueux ; église, annexe d’Aiguesvives ; l’abbé de Caunes présentait à la cure ; sénéchaussée de Carcassonne.",
DT11-01126,"Bezole (La),",église,annexe d’Ajac,non,"
commune, canton de Limoux ; ancienne rectorie du diocèse de Narbonne, aujourd’hui église 
annexe d’Ajac, dédiée à la sainte Vierge ; la cure était unie à l’abbaye d’Alet.",
DT11-00405,"Auriac,",église,annexe d’Albières,non,"
commune, canton de Mouthoumet ; église dédiée à la sainte Vierge, autrefois rectorie au diocèse de Narbonne, aujourd’hui annexe d’Albières ; sénéchaussée de Limoux.",
DT11-02658,"Castelmaure,",église,annexe d’Embres,non,"
hameau et section de la commune d’Embres-et-Castelmaure ; église dédiée à saint Félix, autrefois rectorie au diocèse de Narbonne, aujourd’hui annexe d’Embres ; sénéchaussée de Limoux.",
DT11-08266,"Montgradail,",ancienne vicairie perpétuelle,annexe d’Escueillens,non,"
commune, canton d’Alaigne ; ancienne vicairie perpétuelle au diocèse de Narbonne, aujourd’hui annexe d’Escueillens ; église dédiée à saint André ; sénéchaussée de Limoux.",
DT11-07819,"Mazet (Le),",église,annexe d’Hounous,non,"
château et ferme, commune de la Courtète ; église, annexe d’Hounous, dédiée à saint Etienne.",
DT11-08117,"Molleville,",ancienne succursale,annexe de Baraigne,non,"
commune, canton de Salles-sur-l’Hers ; ancienne succursale, annexe de Baraigne, au diocèse de S.-Papoul, aujourd’hui paroisse indépendante ; église dédiée à saint Martin.",
DT11-12661,"Saint-Just-de-Bélengard,",ancienne rectorie,annexe de Bellegarde,non,"
commune, canton d’Alaigne ; église paroissiale dédiée à saint Just et saint Pasteur ; la cure était unie à la mense archiépiscopale de Narbonne ; ancienne rectorie au diocèse de Narbonne, aujourd’hui annexe de Bellegarde ; sénéchaussée de Limoux.",
DT11-14682,"Villedubert,",église paroissiale,annexe de Bouilhonnac,non,"
commune, canton de Capendu ; église paroissiale, annexe de Bouilhonnac, dédiée à saint Julien et sainte Basilisse ; la seigneurie appartenait à l’évêque de Carcassonne ; la cure était à la présentation du chapitre Saint-Nazaire.",
DT11-14628,"Villaret,",ancienne communauté,annexe de Brousses,non,"
hameau, commune de Brousses-et-Villaret ; ancienne communauté ; l’abbé de Montolieu présentait à la cure ; aujourd’hui annexe de Brousses ; église dédiée à saint Étienne.",
DT11-04867,"Fontanès,",église paroissiale,annexe de Campagna,non,"
commune, canton de Belcaire ; église paroissiale dédiée à saint Jean-Baptiste, annexe de Campagna ; le chapitre de Saint-Paul de Fenouillèdes présentait à la cure.",
DT11-03893,"Cubières,",église,annexe de Camps,non,"
commune, canton de Couiza ; église sous le patronage de la sainte Vierge et annexe de Camps ; avant le Concordat de 1801, la rectorie était au contraire à Cubieres et l’annexe à Camps ; l’archevêque en était le seigneur en toute justice ; sénéchaussée de Limoux.",
DT11-14735,"Villeneuve-des-Corbières,",église,annexe de Cascastel,non,"
commune, canton de Durban, érigée le 15 décembre 1892, par distraction de la commune de Cascastel ; église dédiée à saint Sernin, annexe de Cascastel ; sénéchaussée de Limoux.",
DT11-10915,"Pujol-de-Bosc,",église,annexe de Castanviel,non,"
hameau, commune de Villeneuve-Minervois ; ancienne communauté, unie à Villeneuve en 1790 ; à Cabrespine, en 1791 ; réunie à Villeneuve depuis l’an viii
 ; église, annexe de Castanviel, dédiée à saint Pierre ès liens.",
DT11-12582,"Saint-Jean-de-Barrou,",église paroissiale,annexe de Castelmaure,non,"
commune, canton de Durban ; église paroissiale dédiée à saint Jean, autrefois annexe de Castelmaure, au diocèse de Narbonne ; sénéchaussée de Limoux.",
DT11-07094,"Lignairolles,",ancienne succursale,annexe de Caudeval,non,"
commune, canton d’Alaigne ; église paroissiale dédiée à la sainte Vierge ; ancienne succursale du diocèse de Mirepoix et annexe de Caudeval ; aujourd’hui annexe de Seignalens.",
DT11-05542,"Generville,",église,annexe de Cazalrenoux,non,"
commune, canton de Fanjeaux ; église, annexe de Cazalrenoux, dédiée à saint Jean.",
DT11-02761,"Caunette-sur-Lauquet (La),",église,annexe de Clermont-sur-Lauquet,non,"
commune, canton de Saint-Hilaire ; église dédiée à saint Martin, aujourd’hui annexe de Clermont-sur-Lauquet, autrefois vicairie perpétuelle du diocèse de Narbonne ; sénéchaussée de Limoux.",
DT11-02586,"Cassaignes,",église,annexe de Coustaussa,non,"
commune, canton de Couiza ; église, annexe de Coustaussa, dédiée à saint Martin ; sénéchaussée de Limoux.",
DT11-06324,"Jonquières,",église paroissiale,annexe de Coustouge,non,"
commune, canton de Durban ; église paroissiale dédiée à saint Saturnin, autrefois vicairie perpétuelle au diocèse de Narbonne, aujourd’hui annexe de Coustouge ; la cure était, depuis 1177, à la présentation du commandeur de Saint-Gilles ; sénéchaussée de Limoux.",
DT11-13068,"Saint-Sernin,",église champêtre,annexe de Cupserviès,non,"
église champêtre, annexe de Cupserviès, commune de Labastide-Esparbairenque ; ancien prieuré, uni au chapitre Saint-Nazaire de Carcassonne.",
DT11-07671,"Massac,",ancienne rectorie,annexe de Dernacueillette,non,"
commune, canton de Mouthoumet ; église paroissiale dédiée à saint Julien et sainte Basilisse ; ancienne rectorie au diocèse de Narbonne, aujourd’hui annexe de Dernacueillette ; la seigneurie fut, en 1261, vendue par Olivier de Termes à la commanderie du Temple de Peyrens ; elle devint plus tard un membre de la commanderie d’Homps ; sénéchaussée de Limoux.",
DT11-09857,"Pech-Salamou,",église paroissiale,annexe de Donazac,non,"
hameau, commune de Donazac ; ancienne rectorie du diocèse de Narbonne ; église paroissiale sous le vocable de saint Pons, aujourd’hui annexe de Donazac ; l’abbé de Saint-Hilaire présentait à la cure.",
DT11-11736,"Rouffiac-des-Corbières,",église paroissiale,annexe de Duilhac,non,"
commune, canton de Tuchan ; église paroissiale dédiée à saint Félix, annexe de Duilhac ; sénéchaussée de Limoux.",
DT11-11978,"Saint-André-de-Festes,",ancienne succursale,annexe de Festes,non,"
hameau, section de la commune de Festes-et-Saint-André ; ancienne succursale du diocèse d’Alet, aujourd’hui annexe de Festes.",
DT11-12083,"Saint-Christol,",chef-lieu,annexe de Fonters,non,"
ferme, commune de Fonters-du-Razès ; chef-lieu d’une ancienne succursale du diocèse de Mirepoix, aujourd’hui annexe de Fonters ; le prieuré était uni au monastère de Prouille.",
DT11-08288,"Montirat,",église paroissiale,annexe de Fontiès-d’Aude,non,"
commune, canton de Capendu ; église paroissiale dédiée à saint Julien et sainte Basilisse, annexe de Fontiès-d’Aude ; la cure était primitivement unie à l’abbaye de Saint-Pons-de-Thomières.",
DT11-04107,"Égues (Les),",église,annexe de Fourtou,non,"
hameau, commune de Fourtou ; l’archevêque de Narbonne en était le seigneur en toute justice ; église, annexe de Fourtou, dédiée à saint Paul.",
DT11-04647,"Ferran,",église paroissiale,annexe de Gramazie,non,"
commune, canton d’Alaigne ; église paroissiale dédiée à saint Jean-Baptiste ; autrefois annexe de Gramazie 
(arch. com. Narb., Invent. Rocq., II, 450) ; les Bénédictins de Montolieu, seigneurs de Ferran, présentaient à la cure ; sénéchaussée de Limoux.",
DT11-14626,"Villar-en-Val,",église paroissiale,annexe de Labastide-en-Val,non,"
commune, canton de Lagrasse ; église paroissiale dédiée à saint Paul, annexe de Labastide-en-Val ; viguerie de Termenès ; sénéchaussée de Carcassonne.",
DT11-02915,"Cazazils (Les),",église,annexe de Lafage,non,"
hameau, commune de Lafage ; église dédiée à la sainte Vierge, autrefois succursale au diocèse de Mirepoix, aujourd’hui annexe de Lafage.",
DT11-08291,"Montjoi,",ancienne rectorie,annexe de Lairière,non,"
commune, canton de Mouthoumet ; ancienne rectorie du diocèse de Narbonne, sous le vocable de la Nativité de la sainte Vierge, aujourd’hui annexe de Lairière ; l’abbé d’Alet présentait à la cure ; sénéchaussée de Limoux.",
DT11-13225,"Salsa,",église paroissiale,annexe de Lanet,non,"
commune, canton de Mouthoumet ; église paroissiale dédiée à 426saint Vincent, annexe de Lanet ; sénéchaussée de Limoux.",
DT11-14493,"Vibram,",ancienne succursale,annexe de Laurac,non,"
église ruinée, commune de Generville, ancienne succursale du diocèse de Mirepoix sous le vocable de saint Sernin, annexe de Laurac.",
DT11-08258,"Montgaillard,",ancienne rectorie,annexe de Maisons,non,"
commune, canton de Tuchan ; église paroissiale dédiée à sainte Colombe ; ancienne rectorie au diocèse de Narbonne, aujourd’hui annexe de Maisons ; sénéchaussée de Limoux ; l’archevêque de Narbonne en était le seigneur haut et bas justicier.",
DT11-13241,"Salvaza,",ancien prieuré,annexe de Maquens,non,"
ferme, commune de Carcassonne ; ancien prieuré sous le vocable de saint Jean, uni au chapitre de Carcassonne et annexe de Maquens.",
DT11-10096,"Peyrefite-sur-L’Hers,",ancienne succursale,annexe de Mayreville,non,"
commune, canton de Belpech ; église paroissiale dédiée à saint Martin ; ancienne succursale du diocèse de Mirepoix, aujourd’hui annexe de Mayreville ; la cure, sous le titre de prieuré, était unie à l’abbaye de Camon (Ariège), puis à l’abbaye de Lagrasse.",
DT11-05304,"Galinagues,",église paroissiale,annexe de Mazuby,non,"
commune, canton de Belcaire ; église paroissiale, annexe de Mazuby, dédiée à saint Jean l’Évangéliste.",
DT11-03903,"Cumiès,",autrefois succursale,annexe de Molleville,non,"
commune, canton de Salles-sur-l’Hers ; église paroissiale dédiée autrefois à saint Pierre, aujourd’hui à sainte 114Croix ; autrefois succursale au diocèse de Mirepoix, aujourd’hui annexe de Molleville ; sénéchaussée de Lauraguais.",
DT11-11706,"Roubichoux,",hameau,annexe de Montbel,non,"
hameau, commune de Sonnac ; l’église, sous le vocable de saint André, était autrefois annexe de Montbel (Ariège), au diocèse de Mirepoix ; ancien consulat distinct.",
DT11-05580,"Gincla,",ancienne succursale,annexe de Montfort,non,"
commune, canton d’Axat ; église dédiée à saint Jean-Baptiste, ancienne succursale du diocèse d’Alet, aujourd’hui annexe de Montfort.",
DT11-08449,"Mouillet,",église rurale ruinée,annexe de Padern,non,"
anc. château et seigneurie, propriété de l’abbaye de Lagrasse, commune de Padern ; église rurale ruinée, autrefois annexe de Padern, sous le vocable de saint Martin.",
DT11-08188,"Montauriol,",ancienne succursale,annexe de Payra,non,"
commune, canton de Salles-sur-l’Hers ; église paroissiale dédiée à la sainte Vierge ; ancienne succursale du diocèse de Mirepoix et annexe de Payra ; le chapitre d’Alet était décimateur de la cure.",
DT11-08274,"Monthaut,",église paroissiale,annexe de Pomy,non,"
commune, canton d’Alaigne ; église paroissiale dédiée à saint André, autrefois vicairie perpétuelle au diocèse de Narbonne, aujourd’hui annexe de Pomy ; sénéchaussée de Limoux.",
DT11-06973,"Lescales,",hameau,annexe de Puivert,non,"
hameau, commune de Puivert ; autrefois annexe de Puivert, la cure était unie à la mense épiscopale de Mirepoix ; depuis le 10 juin 1849, paroisse distincte sous le vocable de saint Étienne.",
DT11-14686,"Villefort,",église paroissiale,annexe de Puivert,non,"
commune, canton de Chalabre ; église paroissiale dédiée à saint André, autrefois annexe de Puivert.",
DT11-00964,"Belvianes,",église paroissiale,annexe de Quillan,non,"
hameau et section de la commune de Belvianes-et-Cavirac ; moulin, laminoir et scierie sur la rivière d’Aude ; église paroissiale dédiée à saint Vincent, autrefois annexe de Quillan.",
DT11-14674,"Villedaigne,",église paroissiale,annexe de Raissac,non,"
commune, canton de Narbonne, érigée en 1893 par distraction de celle de Raissac-d'Aude ; église paroissiale, autrefois rectorie au diocèse de Narbonne, aujourd’hui annexe de Raissac, dédiée à saint Hippolyte ; la cure était unie à la mense archiépiscopale de Narbonne ; consulat particulier jusqu’en 1790 ; sénéchaussée de Carcassonne.",
DT11-12570,"Saint-Jean,",ancienne église rurale,annexe de Ribaute,non,"
ancienne église rurale, annexe de Ribaute ; lieu dit entre Ribaute et Lagrasse.",
DT11-04275,"Espinous,",ancienne succursale,annexe de Ribouisse,non,"
hameau, commune de Plavilla ; ancienne succursale du diocèse de Mirepoix, sous le patronage de saint Julien et de sainte Basilisse, et annexe de Ribouisse ; église ruinée.",
DT11-10424,"Plavilla,",église paroissiale,annexe de Ribouisse,non,"
commune, canton de Fanjeaux ; église paroissiale, autrefois annexe de Ribouisse, diocèse de Mirepoix, et dédiée à saint Sernin ; aujourd’hui paroisse indépendante et dédiée à saint André.",
DT11-03401,"Conilhac-de-la-Montagne,",église,annexe de Roquetaillade,non,"
commune, canton de Couiza ; église, autrefois succursale au diocèse d’Alet, aujourd’hui annexe de Roquetaillade, dédiée à la sainte Vierge ; sénéchaussée de Limoux.",
DT11-03453,"Cornèze,",communauté et paroisse,annexe de Rouffiac-d’Aude,non,"
hameau, commune de Couffoulens ; autrefois communauté et paroisse sous le vocable de saint Paul, aujourd’hui annexe de Rouffiac-d’Aude ; la cure était à la présentation de l’abbé de Saint-Polycarpe.",
DT11-04939,"Fonters-du-Razès,",église paroissiale,annexe de Saint-Amans,non,"
commune, canton de Fanjeaux ; église paroissiale dédiée à saint Martin ; la succursale était autrefois à Saint-Christophe, annexe de Saint-Amans.",
DT11-03647,"Courtauly,",église paroissiale,annexe de Saint-Benoît,non,"
commune, canton de Chalabre ; église paroissiale dédiée à la sainte Vierge, autrefois annexe de Saint-Benoît ; sénéchaussée de Limoux.",
DT11-04997,"Fontrouge,",église et cimetière,annexe de Saint-Benoît,non,"
ferme ruinée, commune de Saint-Benoît ; église et cimetière, annexe de Saint-Benoît ; ancienne succursale au diocèse de Mirepoix, sous le vocable de saint Michel.",
DT11-11629,"Roquecourbe,",église,annexe de Saint-Couat-d’Aude,non,"
commune, canton de Capendu ; église, annexe de Saint-Couat-d’Aude, dédiée à saint Michel ; ancienne rectorie du diocèse de Narbonne ; sénéchaussée de Carcassonne.",
DT11-05727,"Granès,",église paroissiale,annexe de Saint-Ferréol,non,"
commune, canton de Quillan ; église paroissiale dédiée à saint Ferréol, annexe de Saint-Ferréol.",
DT11-05349,"Gardie,",église paroissiale,annexe de Saint-Hilaire,non,"
commune, canton de Saint-Hilaire ; église paroissiale dédiée à saint Pierre et à saint Paul ; autrefois annexe de Saint-Hilaire, érigée en bénéfice-cure le 13 avril 1768, par Mgr de Bezons ; l’abbé de Saint-Hilaire présentait à la cure ; sénéchaussée de Carcassonne.",
DT11-14668,"Villebazy,",église paroissiale,annexe de Saint-Hilaire,non,"
commune, canton de Saint-Hilaire ; église paroissiale dédiée à saint Fructueux ; autrefois annexe de Saint-Hilaire, paroisse indépendante depuis 1768 ; la cure était à la présentation de l’abbé de Saint-Hilaire.",
DT11-12805,"Saint-Martin-des-Puits,",église paroissiale,annexe de Saint-Pierre-des-Champs,non,"
commune, canton de Lagrasse ; église paroissiale dédiée à saint Martin et annexe de Saint-Pierre-des-Champs ; formait autrefois un consulat avec Mayronnes ; sénéchaussée de Limoux.",
DT11-14381,"Vendémies,",église paroissiale,annexe de Saint-Polycarpe,non,"
commune, canton de Limoux ; église paroissiale dédiée à saint Martin, annexe de Saint-Polycarpe.",
DT11-01689,"Boutes,",hameau,annexe de Sainte-Camelle,non,"
hameau, commune de Mézerville ; autrefois annexe de Sainte-Camelle et succursale du diocèse de Mirepoix, sous le vocable de saint André ; aujourd’hui église et cimetière de secours.",
DT11-07988,"Mézerville,",église paroissiale,annexe de Sainte-Camelle,non,"
commune, canton de Salles-sur-l’Hers ; église paroissiale dédiée à saint Étienne ; autrefois annexe de Sainte-Camelle, au diocèse de Mirepoix.",
DT11-07100,"Limousis,",église paroissiale,annexe de Sallèles-Cabardès,non,"
commune, canton de Conques ; église paroissiale dédiée à saint Michel, autrefois annexe de Sallèles-Cabardès, aujourd’hui succursale indépendante ; sénéchaussée de Carcassonne.",
DT11-13996,"Trassanel,",église paroissiale,annexe de Sallèles-Cabardès,non,"
commune, canton du Mas-Cabardès ; église paroissiale dédiée à saint Saturnin, autrefois annexe de Sallèles-Cabardès, aujourd’hui indépendante depuis 1846.",
DT11-07094,"Lignairolles,",ancienne succursale,annexe de Seignalens,non,"
commune, canton d’Alaigne ; église paroissiale dédiée à la sainte Vierge ; ancienne succursale du diocèse de Mirepoix et annexe de Caudeval ; aujourd’hui annexe de Seignalens.",
DT11-10153,"Peyrolles,",église paroissiale,annexe de Serres,non,"
commune, canton de Couiza ; église paroissiale dédiée à saint Saturnin, annexe de Serres.",
DT11-09703,"Pechbusque,",ancienne communauté,annexe de Soupex,non,"
ferme, commune de Ricaud ; ancienne communauté, annexe de Soupex, au diocèse de Saint-Papoul.",
DT11-14773,"Villetritouls,",église paroissiale,annexe de Taurize,non,"
commune, canton de Lagrasse ; église paroissiale dédiée à saint Jacques, annexe de Taurize.",
DT11-04697,"Feuilla,",église paroissiale,annexe de Treilles,non,"
commune, canton de Sigean ; église paroissiale dédiée à l’Assomption de la sainte Vierge, autrefois annexe de Treilles, aujourd’hui paroisse indépendante ; sénéchaussée de Limoux.",
DT11-03440,"Corbières,",église,annexe de Tréziers,non,"
commune, canton de Chalabre ; église, annexe de Tréziers, dédiée à saint André.",
DT11-04012,"Domneuve,",ancienne communauté,annexe de Tuchan,non,"
hameau, commune de Tuchan ; église ruinée ; ancienne communauté du diocèse de Narbonne ; au spirituel, annexe de Tuchan, sous le vocable de saint Barthélemy ; ancien fief de l’abbaye de Fontfroide.",
DT11-13783,"Terroles,",église,annexe de Valmigère,non,"
commune, canton de Couiza ; église dédiée à saint Michel, annexe de Valmigère.",
DT11-14707,"Villemagne,",église paroissiale,annexe de Verdun,non,"
commune, canton de Castelnaudary-Nord ; église paroissiale dédiée à saint Martin, autrefois annexe de Verdun ; la cure était unie à la collégiale Saint-Michel de Castelnaudary.",
DT11-08104,"Molières,",église paroissiale,annexe de Villefloure,non,"
commune, canton de Saint-Hilaire ; église paroissiale, annexe de Villefloure, dédiée à saint Jean-Baptiste ; ancien membre de la commanderie d’abord du Temple, puis de l’ordre de Malte, de Douzens ; le commandeur de Douzens présentait à la cure.",
DT11-05133,"Fournes,",église paroissiale,annexe des Ilhes,non,"
commune, canton du Mas-Cabardès ; église paroissiale dédiée à l’Assomption de la sainte Vierge, autrefois annexe des Ilhes.",
DT11-04493,"Fajac-en-Val,",église,annexe du Mas-des-Cours,non,"
commune, canton de Lagrasse ; église dédiée à l’Assompt. de la sainte Vierge, annexe du Mas-des-Cours ; ancienne dépendance de la commanderie de Douzens, ordre de Malte.",
DT11-03030,"Château (Le),",ancien fort,annexion du Roussillon,non,"
ancien fort, démoli après l’annexion du Roussillon (1665), commune de Leucate.",
DT11-00394,"Aude (L’),",rivière,Ariège,non,"
rivière, prend sa source au Lac d’Aude, au pied du roc d’Aude (Pyrénées-Orientales), entre dans le département de l’Ariège au col des Arres, sert de limite à l’Ariège et à l’Aude entre Escouloubre et Carcanières, pénètre dans ce département où elle arrose Axat, Belvianes, Quillan, Campagne, Couiza, Alet, Limoux, Cepie, Pieusse, Pomas, Rouffiac, Preixan, Couffoulens, Carcassonne, Trebes, Floure, Barbaira, Marseillette, Blomac, Saint-Couat-d'Aude, Puicheric, Roquecourbe, Castelnau-d'Aude, Argens, Roubia, Paraza, Ventenac-d'Aude, Canet, Raissac-d'Aude, Saint-Nazaire, Saint-Marcel, Marcorignan, Moussan, Cuxac-d'Aude, Salleles-d'Aude, Coursan, Salles-d'Aude et Fleury, et se jette dans la mer après un cours de 208 kilomètres, dont 180 dans le département.",
DT11-03049,"Chemin-des-Huguenots,",route,Ariège,non,"
route qui paraît venir des confins de l’Ariège et se diriger vers Castres.",
DT11-05697,"Gramazie,",église paroissiale,Assomption,non,"
commune, canton d’Alaigne ; église paroissiale dédiée à l’Assomption de la sainte Vierge ; l’abbé de Montolieu présentait à la cure ; sénéchaussée de Limoux.",
DT11-03877,"Crouzette (La),",lieu dit,au-dessous de Malportel,non,"
lieu dit, commune de Montolieu, au-dessous de Malportel, au croisement des chemins de Moussoulens à Brousses, et de Montolieu à Fraisse-Cabardes.",
DT11-14128,"Trou-de-Cité (Le),",grotte,au-dessous de Quiertinheux,non,"
grotte 
au-dessous de Quiertinheux, commune de Lastours ; station préhistorique.",
DT11-05226,"Fresquel (Le),",rivière,au-dessus de Baraigne,11026,"
rivière, prend sa source au-dessus de Baraigne, arrose Labastide-d'Anjou, Ricaud, Souilhanels, Castelnaudary, Saint-Martin-la-Lande, Lasbordes, Villepinte, Bram, Sainte-Eulalie, Villeseque-Lande, Pezens, Alzonne, Ventenac, Pennautier et Carcassonne, et se jette dans l’Aude, après un parcours de 62 kilomètres.",
DT11-12716,"Saint-Marcel,",église rurale disparue,au-dessus du moulin d’Ables,non,"
église rurale disparue, commune de Joucou, au-dessus du moulin d’Ables.",
DT11-00394,"Aude (L’),",rivière,Aude,non,"
rivière, prend sa source au Lac d’Aude, au pied du roc d’Aude (Pyrénées-Orientales), entre dans le département de l’Ariège au col des Arres, sert de limite à l’Ariège et à l’Aude entre Escouloubre et Carcanières, pénètre dans ce département où elle arrose Axat, Belvianes, Quillan, Campagne, Couiza, Alet, Limoux, Cepie, Pieusse, Pomas, Rouffiac, Preixan, Couffoulens, Carcassonne, Trebes, Floure, Barbaira, Marseillette, Blomac, Saint-Couat-d'Aude, Puicheric, Roquecourbe, Castelnau-d'Aude, Argens, Roubia, Paraza, Ventenac-d'Aude, Canet, Raissac-d'Aude, Saint-Nazaire, Saint-Marcel, Marcorignan, Moussan, Cuxac-d'Aude, Salleles-d'Aude, Coursan, Salles-d'Aude et Fleury, et se jette dans la mer après un cours de 208 kilomètres, dont 180 dans le département.",
DT11-00531,"Baillousti,",vallée,Aude,non,"
vallée de l’Aude, au terroir de Moussan.",
DT11-00869,"Bedau,",col,Aude,non,"
col, commune de Saint-Louis-de-Parahou, à la limite de l’Aude et des Pyrénées-Orientales.",
DT11-01969,"Cabronne,",montagne,Aude,non,"
montagne, commune de Duilhac, limite de l’Aude et des Pyrénées-Orientales.",
DT11-02973,"Cesse (La),",rivière,Aude,non,"
rivière qui prend sa source dans le département de l’Hérault, où elle arrose les territoires de Cassagnoles, la Livinière, Cesséras, Azillanet, Minerve, la Caunette, Aiguesvives et Agel ; elle arrose, dans l’Aude, Bize et Mirepeisset, et se jette dans l’Aude à Salleles-d'Aude.",
DT11-03063,"Chèvre-Morte (La),",forêt,Aude,non,"
forêt à la limite du Tarn et de l’Aude, communes des Cammazes et de Saissac ; dépendait de l’abbaye de Villelongue.",
DT11-03427,"Contrast (Le),",ancien fief,Aude,non,"
ancien fief, compris pour la majeure partie entre l’Aude et le Fresquel, commune de Carcassonne.",
DT11-03796,"Croix-de-Malpas (La),",oratoire,Aude,non,"
oratoire, commune de Fitou, point de division de l’Aude et des Pyrénées-Orientales.",
DT11-03805,"Croix-de-Paloubi (La),",oratoire,Aude,non,"
oratoire, commune de Montfort, à la limite de l’Aude et des Pyrénées-Orientales.",
DT11-03845,"Croix-du-Col-de-Jau (La),",oratoire,Aude,non,"
oratoire, commune de Counozouls, à la limite de l’Aude et des Pyrénées-Orientales.",
DT11-07060,"Lez (Le),",ancienne circonscription territoriale,Aude,non,"
ancienne circonscription territoriale dont une partie appartient aujourd’hui au canton de Quillan, et l’autre à celui d’Axat, dans la vallée de l’Aude.",
DT11-09308,"Ognon (L’),",rivière,Aude,non,"
rivière, affluent de la rive gauche de l’Aude, prend sa source dans l’Hérault, près de Cassagnoles, reçoit à gauche l’Androgoul, arrose, dans l’Aude, Pepieux et Homps ; son cours dans ce département est de 9 kilomètres.",
DT11-10121,"Peyremaux (Roc de),",montagne,Aude,non,"
montagne (1,007m), commune de Lespinassière, limite de l’Aude et du Tarn.",
DT11-10222,"Pierre-Lis (La),",défilé et gorges sauvages,Aude,non,"
défilé et gorges sauvages, donnant passage à l’Aude et à la route nationale, commune de Saint-Martin-Lys.",
DT11-10425,"Plec-d’Aude,",ancien pli,Aude,non,"
ancien pli de l’Aude, aujourd’hui la Robine, à la hauteur de Condom et de Belvèze ; abandonné depuis le creusement du nouveau lit en 1759 
(arch. com. Narb., BB 47, f. 176).",
DT11-11182,"Rébenty (Moulin de),",moulin,Aude,non,"
moulin, au confluent du Rébenty et de l’Aude, commune de Saint-Martin-Lys.",
DT11-09482,"Parazols,",ancien fief,Auris,non,"
ancien fief de l’abbaye de Fontfroide, aux terroirs de Quillanet, commune de Bizanet, et d’Auris, commune de Narbonne.",
DT11-08219,"Montcadirol,",ancien fief,Balaguié,11100,"
ancien fief des Lévis, entre Balaguié et Treziers, 1503-1589 
(bibl. Carc., ms. 9551, f. 192).",
DT11-14008,"Trausse,",anciennes salines,Baliste,non,"
localité disparue, commune de Narbonne ; anciennes salines entre Baliste et l’île del Lec (la Clape).",
DT11-08943,"Mourarènes,",lieu dit,Barque,non,"
lieu dit, au terroir de Raonel et de la Barque, commune de Narbonne ; ancien fief du commandeur de Narbonne.",
DT11-09640,"Pech (Le),",ancienne église rurale,Barrencou,non,"
localité disparue, commune de Fontanès ; ancienne église rurale, qui desservait le Pech, Sarrabiau et Barrencou, hameaux incendiés par les Espagnols sous Louis XII.",
